Lable,AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,AccX21,AccY21,AccZ21,GyrX21,GyrY21,GyrZ21,AccX22,AccY22,AccZ22,GyrX22,GyrY22,GyrZ22,AccX23,AccY23,AccZ23,GyrX23,GyrY23,GyrZ23,AccX24,AccY24,AccZ24,GyrX24,GyrY24,GyrZ24,AccX25,AccY25,AccZ25,GyrX25,GyrY25,GyrZ25,AccX26,AccY26,AccZ26,GyrX26,GyrY26,GyrZ26,AccX27,AccY27,AccZ27,GyrX27,GyrY27,GyrZ27,AccX28,AccY28,AccZ28,GyrX28,GyrY28,GyrZ28,AccX29,AccY29,AccZ29,GyrX29,GyrY29,GyrZ29,AccX30,AccY30,AccZ30,GyrX30,GyrY30,GyrZ30

idle,-4,112,-236,90,4,-15,-3,113,-237,37,8,-21,-2,112,-237,40,11,-20,-3,112,-238,33,6,-20,-3,112,-239,29,9,-19,-3,112,-239,25,11,-19,-3,111,-239,24,9,-13,-3,110,-239,18,13,-15,-3,111,-239,19,9,-16,-3,109,-240,18,10,-16,-3,110,-239,18,7,-14,-3,110,-240,14,8,-14,-3,110,-240,14,10,-14,-3,110,-241,13,9,-14,-3,109,-240,11,10,-14,-3,110,-240,12,8,-12,-3,110,-241,11,9,-11,-3,110,-241,13,8,-11,-4,110,-240,11,8,-13,-4,110,-240,15,7,-12,-4,109,-241,8,9,-13,-4,110,-241,10,6,-12,-4,110,-241,10,10,-12,-4,109,-241,9,9,-14,-5,110,-241,13,10,-9,-4,110,-241,11,7,-11,-5,109,-241,11,11,-11,-5,110,-241,15,8,-11,-5,109,-241,12,11,-12,-5,109,-241,13,10,-13
idle,-5,110,-241,11,8,-13,-5,110,-241,11,7,-11,-5,109,-241,6,6,-14,-5,110,-242,13,7,-11,-5,110,-241,9,9,-13,-5,110,-241,6,8,-13,-5,109,-242,8,10,-13,-5,110,-241,10,9,-13,-5,110,-241,10,8,-12,-5,109,-241,11,8,-13,-5,109,-241,13,8,-11,-5,109,-242,8,8,-13,-5,109,-241,9,9,-12,-5,109,-241,9,11,-12,-5,109,-241,11,10,-10,-5,109,-241,6,8,-12,-5,109,-241,8,7,-12,-5,110,-241,12,8,-11,-5,109,-241,10,8,-11,-5,109,-242,3,8,-13,-5,109,-241,7,10,-11,-6,109,-241,6,10,-13,-5,109,-242,8,8,-12,-5,109,-241,10,9,-11,-6,109,-241,8,11,-12,-5,109,-242,9,10,-12,-5,109,-241,8,10,-12,-5,109,-241,8,12,-11,-6,110,-241,9,10,-11,-5,109,-241,4,10,-11
idle,-6,109,-242,1,9,-10,-6,110,-242,8,12,-9,-6,109,-241,8,12,-12,-6,109,-242,2,7,-9,-6,109,-242,6,13,-10,-6,110,-241,7,12,-11,-6,109,-242,7,12,-9,-6,109,-242,6,13,-11,-6,109,-241,9,14,-11,-6,109,-241,10,15,-11,-6,109,-241,10,13,-10,-6,110,-240,6,12,-11,-6,109,-241,7,13,-12,-6,109,-241,9,12,-11,-6,109,-241,0,9,-13,-6,109,-241,11,12,-11,-6,109,-241,10,11,-13,-6,109,-241,5,9,-14,-6,109,-242,8,12,-15,-6,109,-241,9,10,-13,-6,109,-241,8,12,-14,-6,109,-241,5,9,-14,-6,109,-242,4,13,-14,-6,109,-242,5,13,-13,-6,109,-241,3,13,-13,-6,109,-241,5,10,-10,-6,109,-242,1,11,-13,-6,109,-242,3,12,-13,-6,109,-241,3,11,-15,-6,109,-242,5,9,-13
idle,-6,109,-242,5,11,-13,-6,109,-242,6,8,-13,-6,109,-242,11,14,-12,-6,109,-242,7,11,-12,-6,109,-241,10,11,-11,-6,109,-241,11,11,-11,-6,109,-242,8,11,-12,-6,109,-242,8,14,-13,-6,109,-241,9,13,-13,-6,109,-241,10,14,-13,-6,109,-241,7,13,-14,-6,109,-241,7,10,-14,-6,109,-242,5,12,-15,-6,109,-241,9,11,-14,-6,109,-242,6,6,-14,-6,108,-242,6,13,-16,-6,109,-242,6,12,-17,-7,109,-242,7,14,-15,-6,109,-241,7,12,-15,-6,109,-242,9,12,-13,-6,109,-241,10,12,-13,-6,109,-242,9,11,-11,-6,109,-241,10,12,-11,-6,109,-241,8,12,-12,-6,109,-241,3,13,-15,-6,109,-241,6,12,-13,-6,109,-241,6,11,-13,-6,109,-241,8,12,-14,-7,109,-240,11,11,-13,-7,110,-240,8,10,-14
idle,-7,109,-240,6,10,-15,-7,109,-241,6,8,-14,-8,110,-241,8,11,-13,-7,109,-241,4,10,-15,-7,109,-241,3,12,-15,-8,109,-241,3,14,-15,-7,110,-241,0,10,-14,-8,109,-241,0,13,-14,-8,109,-241,4,13,-13,-8,109,-241,4,14,-12,-8,109,-241,4,14,-14,-8,109,-241,6,14,-13,-8,109,-241,5,15,-14,-8,109,-241,7,10,-13,-8,109,-241,6,10,-14,-8,109,-241,6,13,-13,-8,109,-241,4,11,-14,-8,109,-241,6,14,-16,-8,109,-241,4,13,-17,-8,109,-241,6,12,-15,-8,109,-241,7,13,-15,-8,110,-241,5,12,-15,-8,109,-241,3,14,-17,-7,109,-241,5,12,-16,-8,109,-240,7,13,-15,-7,109,-241,3,11,-16,-8,109,-241,8,14,-14,-8,110,-240,8,14,-14,-8,110,-241,1,12,-16,-8,110,-241,8,15,-14
idle,-8,110,-241,6,13,-16,-8,110,-241,6,12,-15,-7,109,-241,4,14,-17,-7,110,-241,6,13,-15,-8,110,-242,8,13,-15,-7,109,-241,6,14,-15,-7,109,-241,9,15,-15,-7,110,-241,8,13,-14,-7,109,-241,9,15,-16,-7,110,-240,8,12,-15,-7,110,-241,6,11,-14,-7,110,-241,9,14,-14,-7,110,-241,7,12,-14,-7,110,-241,5,10,-14,-7,110,-241,5,11,-14,-8,110,-241,5,12,-14,-7,110,-241,7,14,-13,-7,110,-241,8,12,-12,-7,110,-240,9,15,-12,-8,110,-241,9,14,-12,-7,110,-241,5,11,-12,-7,110,-241,8,14,-13,-7,110,-241,9,12,-12,-7,110,-241,7,15,-14,-7,110,-240,6,9,-13,-7,110,-242,0,10,-15,-7,110,-241,2,11,-16,-7,110,-241,6,5,-11,-7,110,-240,12,10,-12,-8,110,-240,5,9,-15
idle,-8,111,-240,4,9,-18,-8,111,-240,10,10,-14,-8,111,-241,6,12,-16,-8,111,-240,7,14,-14,-8,111,-241,2,16,-17,-8,111,-240,3,14,-15,-8,111,-241,2,12,-15,-8,111,-241,2,13,-16,-8,112,-240,3,13,-14,-8,111,-241,4,14,-13,-8,112,-240,11,15,-12,-7,112,-240,3,11,-14,-7,111,-240,3,13,-14,-8,111,-240,6,11,-15,-7,112,-240,6,12,-15,-7,111,-240,4,16,-16,-7,112,-240,9,14,-13,-8,113,-239,9,14,-14,-7,111,-240,4,10,-13,-8,112,-240,10,14,-12,-7,112,-240,10,13,-11,-7,112,-239,10,11,-12,-7,112,-239,10,11,-12,-7,112,-239,11,12,-11,-7,112,-240,5,8,-14,-7,113,-239,9,12,-14,-7,112,-239,9,11,-15,-7,112,-239,8,11,-14,-7,113,-239,12,11,-12,-7,113,-239,11,10,-13
idle,-7,112,-239,10,10,-12,-7,112,-239,8,11,-13,-7,113,-240,9,12,-13,-7,112,-240,7,12,-14,-7,113,-239,6,10,-12,-7,113,-239,7,10,-12,-7,113,-240,5,13,-14,-7,113,-239,7,12,-12,-7,113,-239,10,9,-11,-7,113,-239,11,10,-11,-7,113,-240,6,11,-12,-7,112,-240,5,12,-12,-7,113,-239,11,13,-10,-7,113,-240,8,10,-11,-7,113,-240,5,11,-12,-7,113,-240,9,11,-12,-7,114,-240,9,13,-12,-7,113,-240,5,12,-12,-7,113,-240,4,12,-11,-7,113,-240,8,14,-10,-7,113,-240,7,14,-11,-7,113,-240,6,12,-11,-7,113,-240,7,12,-10,-7,113,-240,4,10,-11,-7,113,-241,10,12,-11,-7,113,-240,8,12,-10,-7,113,-239,4,11,-11,-7,113,-240,6,11,-13,-7,113,-240,5,10,-12,-7,113,-240,8,13,-10
idle,-7,113,-239,7,13,-12,-7,113,-239,7,12,-10,-7,114,-240,7,10,-11,-7,113,-240,6,13,-13,-6,113,-240,6,12,-13,-7,114,-240,8,12,-11,-6,114,-240,4,11,-13,-6,113,-240,3,9,-14,-6,114,-240,7,13,-13,-6,114,-240,6,12,-14,-6,114,-240,1,10,-14,-6,113,-240,6,13,-13,-6,114,-240,7,13,-14,-6,114,-239,3,14,-15,-6,114,-240,1,10,-15,-6,114,-240,5,14,-15,-6,114,-240,4,14,-16,-6,114,-240,7,13,-14,-6,114,-240,6,14,-14,-6,114,-239,6,13,-13,-6,114,-239,5,13,-13,-6,114,-239,7,11,-14,-7,115,-239,8,11,-14,-6,114,-240,5,13,-15,-6,115,-240,4,13,-14,-6,115,-239,9,13,-12,-6,115,-239,9,11,-12,-6,115,-239,9,10,-10,-6,115,-239,6,10,-12,-6,115,-238,12,12,-12
