Lable,AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,AccX21,AccY21,AccZ21,GyrX21,GyrY21,GyrZ21,AccX22,AccY22,AccZ22,GyrX22,GyrY22,GyrZ22,AccX23,AccY23,AccZ23,GyrX23,GyrY23,GyrZ23,AccX24,AccY24,AccZ24,GyrX24,GyrY24,GyrZ24,AccX25,AccY25,AccZ25,GyrX25,GyrY25,GyrZ25,AccX26,AccY26,AccZ26,GyrX26,GyrY26,GyrZ26,AccX27,AccY27,AccZ27,GyrX27,GyrY27,GyrZ27,AccX28,AccY28,AccZ28,GyrX28,GyrY28,GyrZ28,AccX29,AccY29,AccZ29,GyrX29,GyrY29,GyrZ29,AccX30,AccY30,AccZ30,GyrX30,GyrY30,GyrZ30

tiltl,5,125,-232,-6,4,-15,5,126,-237,-4,21,-26,5,125,-234,-6,22,-18,4,125,-233,1,11,-26,4,127,-235,4,4,-19,6,126,-233,23,1,-17,4,126,-236,15,-4,-14,4,125,-233,14,1,-14,3,124,-235,14,2,-17,3,125,-235,14,1,-18,3,125,-235,15,2,-17,3,124,-234,36,-2,-16,2,124,-235,19,0,-13,2,124,-235,32,0,-12,2,124,-235,39,-2,-10,2,123,-235,31,2,-11,1,123,-235,29,0,-10,1,123,-235,31,0,-6,1,122,-236,32,0,-9,1,122,-236,28,2,-8,1,121,-236,31,4,-7,1,121,-237,24,1,-9,1,120,-237,26,3,-9,0,120,-237,25,4,-8,0,120,-238,23,5,-8,0,120,-238,23,4,-9,0,119,-237,23,6,-9,0,119,-237,30,3,-7,0,118,-238,47,-1,-2,0,117,-238,24,-1,-5
tiltl,0,117,-238,31,3,-7,0,116,-238,29,0,-6,0,116,-239,31,0,-6,0,116,-239,29,1,-7,0,115,-239,28,2,-8,0,115,-239,33,3,-7,0,115,-240,22,3,-10,0,114,-240,-11,8,-16,-2,107,-245,-586,102,-72,-1,130,-224,-855,158,-161,-4,145,-209,-830,146,-200,-2,159,-195,-464,88,-94,-2,159,-190,-296,18,-40,-6,168,-188,181,-43,-26,-6,158,-189,734,-76,3,-6,136,-199,741,-54,12,-6,120,-209,479,-45,1,-7,117,-210,435,-43,1,-7,109,-214,452,-40,3,-7,102,-218,395,-36,5,-8,94,-222,343,-29,3,-9,91,-224,282,-25,-1,-9,85,-227,301,-21,0,-9,80,-231,251,-18,-2,-10,78,-233,235,-15,-1,-10,72,-235,198,-12,-2,-11,71,-236,211,-11,0,-11,66,-238,173,-7,-4,-11,64,-241,167,-6,-3,-12,61,-242,151,-4,-4
tiltl,-12,58,-244,132,-3,-8,-12,57,-245,128,0,-6,-12,54,-247,111,0,-7,-13,54,-248,96,3,-10,-12,52,-248,78,8,-12,-13,50,-251,-92,29,-16,-13,52,-252,-346,73,-20,-9,60,-244,-914,155,-50,-7,81,-232,-971,205,-145,-9,103,-218,-723,195,-130,-6,113,-207,-533,122,-74,-4,128,-193,54,-20,-33,-5,126,-196,758,-83,-33,-9,88,-216,744,-16,13,-9,76,-221,240,3,-6,-8,84,-217,258,-9,-7,-10,77,-221,338,-8,-12,-10,66,-227,179,16,-13,-10,66,-229,134,11,-8,-10,70,-229,160,0,-16,-10,63,-233,131,9,-17,-11,62,-235,126,7,-12,-11,62,-237,87,4,-13,-11,59,-238,112,8,-11,-11,58,-240,74,5,-11,-12,58,-242,88,4,-9,-11,56,-243,66,5,-12,-12,56,-244,68,6,-13,-12,55,-245,46,7,-10,-12,55,-247,59,6,-10
tiltl,-12,53,-247,49,9,-12,-12,53,-248,33,7,-13,-12,52,-249,36,9,-12,-12,52,-250,14,13,-11,-12,53,-250,-249,53,-34,-14,54,-254,-468,123,-32,-11,69,-242,-836,186,-53,-6,95,-223,-814,182,-114,-6,104,-215,-655,171,-104,-6,121,-205,-391,79,-28,-5,127,-201,63,-26,-14,-5,125,-205,474,-52,-1,-6,108,-217,319,-17,0,-6,104,-219,290,-21,5,-7,99,-222,271,-20,3,-12,92,-229,258,-32,10,-8,88,-229,203,-9,0,-8,86,-231,187,-10,0,-8,81,-233,149,-8,1,-8,82,-235,150,-13,-7,-8,79,-238,137,-7,-4,-8,77,-238,117,-3,-3,-8,76,-240,119,-5,-3,-8,74,-242,104,-1,-4,-8,72,-242,97,0,-6,-7,71,-244,91,-2,-4,-8,70,-245,89,2,-5,-8,69,-246,77,0,-5,-7,67,-247,78,2,-6,-7,66,-248,68,2,-7
tiltl,-8,65,-248,64,4,-8,-8,65,-249,61,3,-9,-8,64,-250,56,4,-9,-8,64,-250,42,6,-9,-8,62,-252,0,17,-6,-8,62,-253,-280,63,-16,-6,68,-248,-655,125,-24,-5,80,-240,-920,180,-30,-3,101,-224,-673,156,-107,-3,117,-214,-661,130,-94,-2,129,-204,-400,60,-17,-2,135,-201,100,-35,-9,-2,128,-205,603,-60,-8,-3,108,-218,464,-34,-10,-3,95,-223,242,-27,-2,-3,100,-222,194,-28,-13,-4,94,-226,241,-19,-12,-4,90,-230,215,-16,-14,-4,86,-232,159,-9,-14,-5,85,-233,150,-9,-16,-6,83,-235,150,-8,-12,-6,80,-237,136,-5,-13,-6,78,-239,111,-2,-15,-7,77,-240,112,0,-14,-7,75,-241,98,0,-13,-8,74,-242,92,2,-12,-7,72,-243,85,2,-12,-7,71,-244,80,2,-14,-7,70,-245,64,1,-12,-7,69,-246,67,3,-12
tiltl,-7,69,-247,61,5,-14,-7,68,-247,57,5,-12,-7,67,-248,49,5,-13,-7,67,-248,40,8,-14,-7,66,-249,20,10,-13,-8,66,-250,-42,19,-15,-9,61,-253,-404,80,-14,-4,76,-242,-788,130,-62,0,93,-227,-977,186,-133,-4,109,-214,-841,172,-174,-3,124,-203,-673,123,-121,-1,138,-190,-343,21,-25,-5,144,-192,210,-42,-28,-6,133,-197,651,-60,-2,-6,111,-211,464,-30,0,-7,108,-211,268,-25,-4,-7,108,-213,351,-34,-11,-7,102,-218,317,-24,-6,-8,94,-223,262,-13,-2,-9,93,-224,246,-17,-7,-9,88,-227,214,-13,-8,-9,87,-229,199,-13,-8,-9,83,-231,191,-11,-8,-9,81,-233,179,-7,-8,-10,78,-235,102,2,-13,-10,76,-237,138,1,-10,-10,75,-238,121,-1,-14,-10,73,-241,101,3,-16,-10,72,-241,86,5,-13,-11,71,-242,89,3,-12
tiltl,-11,70,-243,79,5,-14,-11,68,-245,55,8,-15,-11,67,-246,-66,29,-20,-11,76,-245,-88,31,-30,-12,69,-247,-392,91,-16,-11,77,-242,-960,205,-26,-7,111,-220,-836,162,-150,-9,121,-207,-782,176,-161,-8,134,-195,-625,127,-85,-8,140,-186,-400,57,-33,-8,154,-183,179,-31,-45,-7,146,-186,691,-63,-23,-9,124,-199,690,-48,0,-9,112,-207,347,-35,-6,-10,118,-207,326,-43,-19,-10,108,-213,321,-24,-13,-12,104,-216,302,-18,-11,-10,101,-219,237,-12,-22,-11,97,-222,196,-6,-19,-12,97,-224,221,-10,-18,-12,93,-227,179,-4,-17,-12,90,-230,160,-1,-19,-12,88,-232,146,1,-14,-12,87,-233,156,0,-14,-12,84,-235,123,4,-17,-12,83,-237,119,5,-16,-12,81,-238,104,5,-15,-12,80,-240,100,7,-16,-12,79,-241,91,6,-16,-12,78,-242,79,8,-16
tiltl,-12,77,-243,68,9,-17,-12,76,-244,63,9,-18,-12,76,-245,50,10,-17,-12,74,-247,-31,22,-19,-12,78,-246,-20,23,-20,-11,71,-249,-328,66,-30,-11,76,-249,-643,123,-22,-9,92,-233,-1040,199,-67,-9,116,-214,-826,174,-127,-8,129,-202,-741,146,-114,-7,139,-192,-434,72,-17,-9,147,-187,38,-25,-18,-10,142,-193,475,-37,-10,-10,126,-205,409,-17,-11,-9,118,-210,271,-10,-14,-10,119,-210,285,-15,-17,-10,113,-215,274,-5,-26,-10,109,-218,247,0,-23,-11,106,-221,208,1,-25,-11,102,-224,196,3,-25,-10,99,-226,182,5,-25,-11,98,-227,173,3,-24,-11,95,-230,154,0,-23,-12,92,-233,145,5,-21,-11,90,-234,129,3,-22,-11,88,-236,118,5,-20,-12,87,-237,110,4,-17,-12,85,-239,103,7,-17,-12,83,-240,83,10,-18,-12,81,-242,83,10,-17
tiltl,-12,82,-241,69,9,-18,-12,80,-243,68,8,-19,-12,79,-244,62,9,-16,-12,78,-245,45,11,-17,-12,77,-246,45,12,-17,-12,76,-247,-19,21,-16,-13,75,-249,-256,60,-21,-9,82,-242,-836,145,-32,-3,107,-219,-1111,154,-74,-9,115,-214,-712,152,-105,-7,131,-199,-706,134,-94,-6,144,-188,-600,99,-36,-4,155,-177,-176,-13,-16,-7,156,-183,294,-60,-3,-8,143,-191,470,-48,-2,-7,133,-197,491,-42,2,-8,126,-201,386,-37,7,-9,121,-207,279,-31,-2,-9,115,-211,310,-29,4,-9,115,-212,266,-27,-9,-10,107,-217,202,-13,-1,-10,109,-219,191,-19,-10,-10,103,-222,190,-13,-9,-10,102,-225,167,-15,-8,-10,98,-228,139,-7,-8,-10,97,-229,145,-2,-9,-11,96,-230,128,-4,-14,-10,94,-232,120,-1,-9,-11,92,-234,109,0,-13,-11,91,-235,106,0,-11
