Lable,AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,AccX21,AccY21,AccZ21,GyrX21,GyrY21,GyrZ21,AccX22,AccY22,AccZ22,GyrX22,GyrY22,GyrZ22,AccX23,AccY23,AccZ23,GyrX23,GyrY23,GyrZ23,AccX24,AccY24,AccZ24,GyrX24,GyrY24,GyrZ24,AccX25,AccY25,AccZ25,GyrX25,GyrY25,GyrZ25,AccX26,AccY26,AccZ26,GyrX26,GyrY26,GyrZ26,AccX27,AccY27,AccZ27,GyrX27,GyrY27,GyrZ27,AccX28,AccY28,AccZ28,GyrX28,GyrY28,GyrZ28,AccX29,AccY29,AccZ29,GyrX29,GyrY29,GyrZ29,AccX30,AccY30,AccZ30,GyrX30,GyrY30,GyrZ30
down,34,-43,-264,9,6,-1,28,-39,-251,55,26,-33,27,-28,-230,33,-1,-45,26,-31,-197,167,-184,-9,14,-32,-184,267,-519,64,-12,-43,-166,306,-827,221,-27,-62,-203,22,-1025,236,-55,-76,-257,-137,-1225,468,-82,-64,-306,-342,-1268,686,-212,-67,-512,547,-401,28,-74,-32,-378,271,82,-116,-93,-44,-277,-38,176,-108,-85,-46,-252,70,257,-159,-91,-54,-299,185,446,-208,-79,-81,-317,-185,798,-296,-63,-62,-293,26,913,-405,-43,-55,-259,107,921,-466,-21,-46,-215,-181,878,-321,2,-30,-191,0,583,-221,19,-22,-194,11,328,-30,21,-41,-216,41,96,22,28,-43,-233,-122,15,-26,28,-41,-246,78,-47,-24,27,-42,-260,-10,-22,-5,27,-47,-264,56,-36,7,25,-48,-267,33,-38,29,21,-49,-259,83,-21,18,23,-47,-255,43,-21,-18,21,-48,-259,51,-16,17,19,-56,-254,43,-14,11
down,17,-51,-231,68,-74,-23,11,-41,-203,154,-238,-21,6,-44,-216,4,-392,52,-9,-46,-224,269,-535,245,-26,-59,-180,197,-762,287,-55,-49,-190,-102,-1017,242,-75,-55,-266,-378,-1171,442,-82,-29,-317,-920,-1356,831,-108,-105,-433,7,37,-31,-65,-45,-320,-128,174,-32,-80,-51,-240,-76,173,-50,-87,-33,-267,403,172,-125,-93,-75,-311,-260,583,-150,-82,-63,-304,172,743,-323,-66,-61,-283,-92,985,-362,-45,-61,-261,104,982,-412,-16,-45,-223,-60,916,-360,5,-41,-191,-178,686,-230,27,-20,-182,-68,333,-66,24,-43,-211,-3,25,46,27,-47,-234,-105,-63,27,33,-44,-256,-2,-90,13,31,-43,-266,66,-53,13,28,-43,-267,-12,-15,35,24,-48,-264,35,0,-7,25,-46,-254,-1,15,-14,24,-45,-259,-3,1,9,25,-56,-270,-51,-13,7,22,-46,-260,100,1,-10,27,-43,-258,53,-7,-26
down,25,-45,-260,5,-14,2,23,-46,-262,11,-4,11,19,-54,-259,16,-1,-23,18,-46,-247,83,-35,-21,13,-37,-218,-19,-102,-17,-5,-24,-149,32,-335,-14,-20,-43,-125,18,-922,14,-25,-17,-193,-163,-1565,357,-83,-37,-327,61,-1624,612,-131,-24,-370,-314,-373,379,-72,-25,-385,-59,208,-68,-76,-8,-293,527,175,-112,-98,-62,-295,257,423,-155,-89,-93,-314,76,790,-325,-65,-61,-277,71,972,-336,-54,-79,-248,-142,1018,-312,-22,-34,-196,-6,823,-256,2,-29,-170,-41,489,-110,13,-39,-200,-111,126,-9,9,-46,-237,-44,35,-23,17,-56,-255,-28,17,-23,21,-55,-264,-67,14,-10,24,-48,-264,55,11,-31,23,-51,-263,-2,25,-10,19,-40,-254,82,17,-26,20,-49,-255,29,9,-19,19,-55,-258,-6,11,-9,16,-58,-261,-20,-7,0,17,-51,-263,-10,7,-14,18,-48,-263,2,20,-10
down,17,-53,-260,-7,21,-19,19,-53,-256,19,12,-17,20,-47,-245,96,-9,10,12,-42,-231,104,-103,20,15,-29,-221,-15,-222,63,-9,-48,-178,158,-474,130,-19,-32,-151,53,-799,182,-38,-50,-199,-133,-1271,433,-85,-54,-302,-230,-1311,566,-148,-38,-411,126,-347,133,-55,-25,-401,397,156,-195,-84,-44,-254,434,122,-113,-87,-46,-261,-70,289,-61,-95,-92,-311,32,527,-238,-70,-58,-304,34,757,-342,-59,-74,-275,-69,924,-372,-35,-44,-225,-120,872,-320,-1,-36,-199,-96,563,-230,9,-16,-191,-29,265,-128,7,-37,-225,17,115,-55,17,-28,-251,-1,12,-10,10,-36,-261,58,44,-15,15,-43,-259,-60,43,-20,15,-40,-256,-3,11,-5,14,-39,-256,14,-7,9,10,-46,-264,-16,-11,7,9,-42,-261,12,-5,-6,14,-33,-261,10,-6,-24,10,-41,-263,6,10,2,13,-43,-258,-2,14,-15
down,13,-41,-260,23,-2,-16,12,-44,-262,21,3,-7,8,-38,-253,34,7,-8,7,-32,-244,27,-55,-25,9,-31,-229,107,-150,3,-5,-31,-221,51,-267,86,-23,-27,-183,145,-494,79,-17,-36,-185,12,-814,136,-35,-57,-258,8,-1262,452,-69,-47,-316,-203,-1076,655,-159,-138,-495,781,-11,-3,-46,5,-282,-318,199,-40,-77,-41,-229,116,53,-63,-80,-55,-273,301,122,-165,-89,-68,-308,22,478,-280,-75,-79,-315,10,783,-414,-51,-48,-274,-19,921,-414,-36,-60,-235,-303,976,-333,-10,-37,-198,-48,695,-258,8,-22,-193,-37,409,-82,14,-41,-218,25,166,22,15,-53,-238,-38,54,5,21,-46,-253,-44,5,-58,26,-41,-260,13,-5,-15,23,-45,-262,56,7,-22,25,-42,-261,38,12,-29,22,-41,-261,51,22,-18,21,-49,-261,-10,10,-18,22,-42,-262,-10,16,-16,19,-48,-259,2,16,-10
down,19,-46,-261,-21,15,6,20,-48,-258,54,15,-13,23,-44,-255,58,-8,-14,26,-45,-254,-2,-44,9,14,-39,-243,25,-83,73,3,-18,-197,86,-234,110,-6,-37,-144,184,-623,235,-24,-41,-177,60,-1122,361,-62,-63,-269,-192,-1271,536,-91,-70,-313,-93,-1052,584,-189,-117,-512,903,-120,-137,-64,-84,-360,-147,168,-113,-78,-90,-268,-14,94,-69,-67,-44,-251,366,105,-75,-93,-86,-302,-100,558,-173,-80,-82,-296,136,790,-418,-62,-86,-277,-47,989,-501,-35,-68,-238,-61,976,-438,-5,-45,-199,-50,729,-288,18,-41,-182,104,384,-67,18,-64,-214,-82,79,9,11,-62,-230,-56,8,2,23,-65,-250,-25,-44,-20,22,-69,-256,-80,-8,35,19,-72,-261,17,-3,-20,21,-65,-258,-4,7,-36,20,-64,-256,5,12,-21,21,-64,-260,10,-2,-24,17,-64,-254,35,9,-4,19,-66,-257,-19,28,-10
down,18,-72,-263,-21,13,-37,23,-64,-257,46,2,-38,20,-58,-256,21,5,-18,15,-62,-249,-1,3,-4,17,-57,-235,38,-29,36,1,-52,-196,98,-180,75,-4,-50,-164,-112,-566,118,-26,-44,-157,146,-966,314,-49,-63,-214,-143,-1360,483,-92,-73,-307,-403,-1307,698,-227,-67,-512,1034,-68,-166,-38,-30,-309,-480,232,-60,-75,-62,-224,-40,58,-69,-80,-49,-236,308,12,-26,-105,-95,-294,-65,309,-121,-83,-73,-314,207,599,-320,-69,-90,-300,-113,877,-384,-43,-64,-254,23,920,-374,-25,-58,-221,-61,820,-293,-2,-49,-185,-96,555,-164,12,-42,-198,-90,238,-23,14,-56,-230,47,34,62,7,-67,-249,34,-10,18,14,-62,-254,4,25,-36,15,-59,-253,-26,25,-21,12,-63,-255,-43,28,-21,13,-64,-256,-12,17,-30,18,-63,-258,35,-6,-27,18,-60,-260,24,7,-9,16,-62,-258,46,7,-22
down,19,-59,-256,23,9,-22,14,-58,-253,33,9,-1,13,-67,-255,-37,-13,9,10,-60,-242,75,-41,9,2,-54,-206,58,-148,53,3,-51,-178,-175,-472,133,-18,-49,-169,9,-894,311,-53,-51,-202,-4,-1141,439,-85,-69,-283,-300,-1239,481,-126,15,-334,-762,-332,574,-102,-128,-412,-401,245,-175,-59,-19,-264,171,63,-29,-85,-51,-255,6,164,-66,-107,-62,-316,336,324,-160,-89,-59,-321,-123,761,-367,-67,-60,-272,129,989,-390,-49,-52,-222,106,919,-361,-18,-62,-199,-202,776,-272,4,-41,-193,-14,360,-137,18,-29,-204,44,-10,6,0,-50,-237,51,-62,18,10,-51,-254,47,-81,52,4,-60,-255,79,-90,68,1,-53,-260,-13,-46,35,-7,-67,-266,-51,4,6,1,-63,-264,-4,9,-17,2,-64,-269,-2,11,-25,0,-55,-256,130,11,-45,-3,-55,-255,51,8,-40,4,-55,-257,-24,17,-14
down,0,-72,-253,-35,-29,1,-4,-52,-244,47,-83,18,-6,-61,-231,-44,-152,14,-19,-40,-193,240,-301,71,-25,-11,-169,112,-633,187,-44,-57,-237,-321,-946,412,-86,-70,-270,-143,-1009,400,-94,-55,-275,-164,-842,320,-103,-93,-418,-67,104,-45,-58,9,-277,162,127,-55,-73,-43,-230,18,110,-72,-91,-60,-283,281,251,-160,-95,-77,-312,95,631,-310,-69,-71,-287,105,864,-390,-48,-61,-248,22,907,-340,-24,-57,-217,16,714,-233,-16,-60,-207,-70,499,-127,-1,-40,-204,88,289,-41,7,-64,-223,-119,98,-29,9,-55,-238,-57,0,-19,6,-56,-254,56,-32,7,4,-61,-262,-29,-19,-16,9,-62,-269,-18,0,-23,10,-55,-259,93,8,-20,7,-51,-253,50,6,-17,4,-63,-258,-17,6,-15,4,-63,-261,-30,11,-13,4,-63,-264,9,18,-15,5,-63,-258,44,22,-35,6,-56,-254,29,9,-11
down,5,-56,-253,40,-1,3,5,-66,-243,18,-40,14,6,-53,-237,234,-158,37,-5,-48,-225,173,-190,112,-16,-66,-193,221,-419,111,-25,-63,-197,-153,-654,198,-52,-54,-205,-124,-1013,413,-79,-84,-254,-414,-1175,519,-162,-56,-406,-85,-627,554,-99,-62,-432,-246,287,-218,-79,-48,-257,253,177,-102,-70,-28,-236,213,268,-76,-82,-81,-293,81,386,-159,-71,-65,-297,142,563,-287,-68,-82,-291,-19,845,-362,-47,-67,-251,214,890,-427,-16,-49,-212,-60,788,-360,4,-46,-189,-41,446,-158,4,-52,-208,10,152,-45,11,-70,-238,-114,-8,3,14,-61,-250,-61,-28,26,10,-63,-262,42,-16,16,12,-61,-262,12,12,-33,14,-66,-258,-35,26,18,10,-65,-254,53,-2,-6,15,-60,-259,-13,3,-21,10,-62,-260,5,29,-9,12,-63,-259,48,-1,-28,14,-61,-259,24,4,-5,8,-59,-255,37,1,-4
