Lable,AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,AccX21,AccY21,AccZ21,GyrX21,GyrY21,GyrZ21,AccX22,AccY22,AccZ22,GyrX22,GyrY22,GyrZ22,AccX23,AccY23,AccZ23,GyrX23,GyrY23,GyrZ23,AccX24,AccY24,AccZ24,GyrX24,GyrY24,GyrZ24,AccX25,AccY25,AccZ25,GyrX25,GyrY25,GyrZ25,AccX26,AccY26,AccZ26,GyrX26,GyrY26,GyrZ26,AccX27,AccY27,AccZ27,GyrX27,GyrY27,GyrZ27,AccX28,AccY28,AccZ28,GyrX28,GyrY28,GyrZ28,AccX29,AccY29,AccZ29,GyrX29,GyrY29,GyrZ29,AccX30,AccY30,AccZ30,GyrX30,GyrY30,GyrZ30
idle,-7,66,-255,1,17,-18,-8,66,-254,-9,14,-10,-10,64,-255,-1,26,-14,-8,66,-256,-10,0,-13,-8,68,-253,46,13,-16,-10,67,-252,16,-5,0,-11,67,-258,11,-6,-21,-7,70,-259,11,24,-3,-8,69,-253,10,19,23,-12,64,-250,50,20,26,-8,61,-253,-15,14,-12,-7,64,-254,14,1,-26,-7,66,-256,11,-7,-30,-10,70,-256,26,17,-21,-9,68,-256,15,29,-7,-7,68,-255,2,14,-10,-6,68,-251,23,30,-12,-7,64,-254,-11,0,5,-8,65,-256,9,6,-22,-7,67,-255,46,11,-27,-7,65,-257,36,-2,-7,-9,67,-257,61,20,-25,-3,65,-255,9,3,-10,-9,69,-256,35,19,-23,-8,66,-256,-16,26,-8,-10,63,-257,10,21,-11,-9,67,-255,2,8,-15,-9,67,-253,14,11,-10,-8,66,-255,16,13,-7,-6,66,-256,22,16,-5
idle,-12,66,-258,13,7,2,-8,64,-257,20,20,-7,-10,64,-255,17,18,-8,-8,64,-254,9,5,-14,-8,66,-255,-3,7,-7,-9,62,-256,9,2,-11,-10,66,-259,1,15,-13,-9,64,-257,20,18,-7,-6,65,-255,-2,21,-24,-9,64,-257,18,15,-11,-8,66,-255,22,19,-21,-9,65,-254,-1,11,-10,-11,66,-254,18,16,-3,-10,63,-254,-10,9,-10,-9,64,-257,1,0,-10,-9,64,-258,14,5,-13,-11,64,-256,10,6,-10,-9,65,-257,17,-1,-7,-8,63,-256,5,7,-12,-8,63,-257,8,-3,-10,-11,67,-256,14,2,-21,-8,65,-252,20,10,-9,-8,61,-255,0,-2,-21,-9,64,-256,20,12,-19,-12,67,-255,39,26,-22,-10,67,-255,6,20,-19,-11,67,-255,13,23,-14,-10,61,-255,-2,-2,-13,-11,67,-255,11,6,-33,-11,65,-256,26,6,-18
idle,-9,65,-256,18,11,-26,-11,64,-256,4,3,-13,-12,65,-256,17,26,-17,-11,65,-255,33,23,-17,-9,66,-253,21,15,-15,-11,66,-257,11,-7,-16,-10,65,-256,23,10,-11,-11,65,-257,17,10,-7,-12,66,-257,30,15,-5,-8,64,-256,19,12,-6,-8,63,-254,11,-5,2,-12,63,-257,14,13,-29,-9,63,-256,27,17,-13,-11,64,-256,1,5,-16,-10,67,-257,14,14,-15,-11,67,-254,21,18,-12,-10,64,-254,18,16,-7,-11,64,-255,-9,13,-15,-9,65,-257,16,17,-18,-8,67,-256,4,22,-12,-11,66,-255,10,23,-18,-10,65,-255,8,22,-18,-12,64,-253,1,7,-11,-9,67,-256,2,14,-27,-9,67,-255,25,23,1,-10,62,-255,10,8,-15,-10,65,-256,0,11,-22,-9,67,-257,8,13,-6,-11,62,-258,15,10,-13,-10,65,-255,14,20,-18
idle,-11,64,-256,19,12,-9,-11,65,-254,15,14,-18,-9,65,-255,19,10,-4,-10,62,-258,9,-5,-10,-8,65,-258,27,13,-16,-10,63,-253,11,9,-12,-12,60,-257,-3,16,-33,-12,63,-256,8,10,-25,-11,64,-257,-2,15,-20,-9,62,-258,9,10,-13,-9,66,-254,8,20,-16,-8,65,-255,6,21,-24,-10,64,-253,-3,22,-24,-10,66,-254,-1,3,-19,-14,66,-255,6,19,-25,-10,65,-256,15,14,-16,-11,65,-255,11,17,-20,-10,64,-254,9,10,-15,-10,64,-254,2,8,-30,-10,65,-253,24,15,-19,-11,63,-256,9,13,-24,-13,67,-256,36,21,-7,-11,66,-255,-8,16,-16,-12,63,-256,-1,25,-3,-12,65,-254,26,22,-5,-13,67,-255,19,22,-19,-8,65,-254,16,17,-6,-11,62,-255,-8,12,-18,-9,64,-257,11,10,-20,-8,66,-256,23,10,-22
idle,-10,64,-256,-7,1,-6,-13,63,-257,4,13,-20,-11,64,-253,21,20,-22,-10,65,-255,4,10,-22,-10,67,-256,14,18,-17,-12,63,-254,12,7,-13,-11,67,-256,-16,3,-22,-11,67,-259,-6,27,-1,-11,63,-255,10,10,0,-9,61,-254,15,18,-18,-10,62,-255,1,3,-24,-9,65,-257,24,16,-17,-10,64,-257,17,18,-16,-12,66,-255,8,11,-15,-10,64,-254,5,17,-20,-13,64,-255,7,16,-17,-9,65,-256,3,20,-20,-12,67,-254,10,16,-12,-10,64,-256,3,17,-11,-9,66,-255,7,22,-9,-11,63,-255,-11,-12,-7,-10,69,-257,11,13,-9,-11,64,-260,13,10,7,-10,62,-257,14,20,-8,-9,65,-254,6,15,-18,-8,63,-252,3,11,-18,-11,64,-254,16,5,-18,-10,66,-256,11,2,-23,-12,63,-257,10,14,-18,-13,67,-257,14,14,-5
idle,-11,66,-255,16,21,-3,-9,64,-254,13,19,-19,-7,65,-255,-14,-7,-9,-10,64,-257,12,13,-13,-9,67,-255,-1,9,-13,-12,63,-256,15,31,-12,-11,62,-255,10,8,-20,-9,68,-254,11,22,-30,-15,65,-256,-2,0,-2,-12,67,-256,3,3,-5,-9,65,-255,-3,10,-14,-8,65,-255,3,8,-7,-12,64,-254,16,5,-6,-12,64,-255,-2,7,-29,-11,69,-257,18,22,-17,-11,65,-255,17,16,-16,-11,65,-255,6,15,-23,-11,67,-256,-2,11,-14,-13,67,-257,16,22,-16,-11,67,-254,13,17,-5,-11,66,-254,-3,7,-6,-13,64,-256,15,-3,0,-9,65,-257,13,13,-6,-12,64,-256,13,26,-4,-11,63,-254,10,14,-21,-11,66,-256,13,9,-10,-11,65,-257,9,15,-14,-11,66,-254,10,4,-14,-10,66,-255,14,8,-9,-12,65,-256,-9,6,-26
idle,-11,67,-256,17,11,-9,-12,66,-258,2,1,-12,-7,66,-254,0,3,21,-14,65,-256,26,8,-6,-5,64,-253,14,25,-6,-12,63,-255,13,14,-10,-13,65,-255,9,3,-29,-9,66,-254,28,8,-18,-9,64,-258,16,-2,-6,-11,64,-257,12,25,-8,-11,61,-255,6,36,-19,-10,65,-256,16,21,-18,-9,64,-256,7,14,-20,-11,66,-255,28,24,-14,-11,66,-255,-8,15,-13,-10,65,-255,6,11,-14,-10,62,-253,9,9,-13,-15,65,-254,23,18,-23,-11,64,-252,13,16,-6,-12,65,-257,-2,-1,-12,-8,64,-257,-2,17,-15,-12,67,-254,29,22,-2,-12,61,-256,-2,6,-14,-11,64,-257,7,7,-26,-10,64,-258,7,10,-26,-9,67,-256,21,17,-13,-12,66,-255,10,16,-11,-11,65,-255,17,20,-7,-11,60,-254,19,2,-33,-13,66,-252,24,6,-38
idle,-7,63,-254,-13,-17,-57,-10,69,-256,21,-1,-32,-9,65,-260,12,-13,-21,-10,68,-260,13,38,-29,-11,64,-257,2,38,-10,-14,63,-259,-5,45,-17,-12,67,-251,0,40,-17,-12,62,-253,2,11,-16,-11,67,-252,6,0,-26,-13,63,-256,20,0,-21,-10,68,-256,23,13,-28,-8,71,-256,22,20,-20,-11,67,-256,19,22,-22,-10,66,-252,26,15,-12,-14,67,-254,19,1,-19,-9,65,-259,3,11,-10,-10,62,-256,24,9,-6,-8,74,-254,15,21,-14,-12,64,-255,-6,4,0,-11,66,-256,48,25,3,-13,62,-257,-14,1,-22,-12,62,-256,3,7,-11,-11,67,-252,20,17,-21,-9,68,-254,26,22,-7,-10,65,-252,7,13,-13,-14,65,-255,11,10,-17,-12,67,-253,-3,3,-19,-11,66,-255,28,20,-7,-11,69,-252,14,17,-17,-13,64,-255,-1,0,-9
idle,-10,65,-255,16,9,-15,-11,66,-256,17,11,-4,-11,62,-256,-2,2,-13,-12,66,-256,-5,5,-14,-10,65,-255,25,16,-16,-13,67,-251,10,11,-8,-14,62,-257,-9,0,-19,-11,66,-258,3,9,-18,-13,66,-256,19,12,-10,-10,65,-257,2,7,-16,-12,67,-253,2,11,-1,-11,65,-258,9,20,-18,-9,67,-255,13,17,-7,-11,66,-252,3,20,-18,-12,64,-256,7,21,-20,-10,63,-256,-7,10,-12,-12,68,-255,15,15,-15,-12,68,-252,17,9,-12,-12,68,-254,0,7,-24,-12,64,-257,-2,7,8,-14,66,-256,1,13,-5,-10,65,-253,14,11,-9,-14,63,-255,3,4,-23,-14,68,-256,23,9,-14,-14,65,-251,22,17,-13,-11,70,-252,-20,-11,-12,-12,72,-257,32,26,-4,-13,66,-254,10,17,-8,-12,67,-254,1,9,-22,-10,68,-255,7,18,-13
idle,-10,67,-252,13,-7,-7,-14,67,-255,1,6,-21,-12,67,-253,25,20,-4,-12,67,-254,3,12,-18,-11,66,-253,7,5,-18,-13,68,-252,23,16,-21,-12,68,-253,12,15,-10,-12,67,-254,23,13,-10,-11,68,-256,2,18,-18,-13,64,-252,7,0,-14,-14,65,-256,-4,-2,-42,-16,62,-253,1,-18,-11,-13,68,-258,13,6,-37,-11,70,-254,12,7,-7,-13,69,-257,-12,28,-32,-11,68,-252,21,37,-7,-15,64,-257,22,32,-16,-16,69,-249,-2,35,-38,-15,68,-252,7,24,-16,-16,66,-254,6,16,-6,-14,68,-254,-3,-10,-1,-13,65,-255,18,6,-11,-13,67,-254,11,10,-11,-15,64,-253,6,4,-6,-13,68,-256,0,5,-17,-14,69,-252,6,12,1,-13,68,-255,11,14,-8,-12,68,-254,-4,12,-3,-10,64,-255,23,22,-3,-12,65,-251,-4,13,-22
