Lable,AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,AccX21,AccY21,AccZ21,GyrX21,GyrY21,GyrZ21,AccX22,AccY22,AccZ22,GyrX22,GyrY22,GyrZ22,AccX23,AccY23,AccZ23,GyrX23,GyrY23,GyrZ23,AccX24,AccY24,AccZ24,GyrX24,GyrY24,GyrZ24,AccX25,AccY25,AccZ25,GyrX25,GyrY25,GyrZ25,AccX26,AccY26,AccZ26,GyrX26,GyrY26,GyrZ26,AccX27,AccY27,AccZ27,GyrX27,GyrY27,GyrZ27,AccX28,AccY28,AccZ28,GyrX28,GyrY28,GyrZ28,AccX29,AccY29,AccZ29,GyrX29,GyrY29,GyrZ29,AccX30,AccY30,AccZ30,GyrX30,GyrY30,GyrZ30
left,-51,-87,-247,3,23,-3,-54,-94,-245,-16,29,-10,-51,-93,-246,-1,35,-9,-49,-93,-243,-2,33,-23,-49,-92,-242,62,16,-21,-47,-96,-241,14,-2,-12,-51,-100,-242,28,11,-33,-53,-136,-235,84,8,-122,-47,-171,-221,15,-20,-479,-44,-182,-208,51,-89,-873,-47,-169,-211,-375,-220,-1026,-57,-122,-218,134,-443,-1139,-66,-105,-230,-405,-421,-1102,-65,-29,-251,-774,-318,-1034,-55,11,-277,-498,-202,-800,-46,49,-280,-350,-48,-340,-44,56,-279,36,41,68,-48,30,-274,265,128,503,-56,-13,-265,473,174,706,-67,-53,-251,573,247,987,-60,-79,-250,794,230,1137,-60,-143,-235,315,268,1127,-60,-179,-214,175,237,804,-54,-162,-221,78,204,446,-47,-142,-223,62,150,186,-47,-119,-228,27,79,102,-46,-114,-234,22,27,84,-46,-104,-239,-26,23,-10,-50,-103,-241,-51,17,-37,-48,-98,-245,16,3,-30
left,-47,-90,-248,18,8,-7,-49,-92,-245,1,16,-7,-48,-91,-241,30,6,1,-47,-93,-243,6,8,-5,-47,-98,-243,8,10,7,-48,-101,-246,4,3,-11,-50,-98,-242,29,19,-17,-56,-124,-236,-7,-2,-57,-47,-173,-228,-72,-41,-314,-45,-176,-220,-165,-78,-714,-49,-156,-220,-421,-167,-1033,-52,-131,-231,-300,-257,-1094,-51,-67,-240,-421,-294,-1019,-60,-40,-254,-362,-309,-823,-57,-17,-261,-216,-301,-641,-60,3,-272,-225,-149,-437,-50,23,-278,-206,29,-148,-47,26,-273,59,121,223,-56,6,-263,186,194,582,-59,-38,-255,143,194,778,-52,-42,-253,85,159,1025,-58,-100,-257,45,141,1067,-57,-123,-248,250,92,792,-47,-106,-227,354,25,494,-49,-108,-239,133,51,367,-51,-104,-246,146,53,218,-57,-101,-246,8,42,98,-56,-87,-248,30,50,28,-52,-72,-247,54,44,-23,-48,-73,-247,20,9,20
left,-50,-76,-251,8,15,-8,-49,-73,-252,18,11,-18,-51,-75,-251,12,17,-10,-51,-75,-251,15,18,-16,-49,-70,-248,50,18,2,-50,-77,-250,10,15,-1,-50,-73,-253,38,46,2,-60,-122,-244,127,79,-116,-55,-185,-221,-15,40,-578,-43,-187,-221,-91,-66,-1057,-54,-153,-233,-317,-126,-1506,-72,-83,-241,-615,-165,-1614,-61,-17,-259,-516,-191,-1322,-40,46,-249,-308,-144,-841,-40,45,-263,-167,-162,-463,-35,22,-277,-153,-80,-134,-33,10,-278,34,-13,189,-39,19,-270,128,108,399,-49,6,-262,149,191,622,-34,15,-251,508,120,926,-48,-49,-258,589,109,1238,-65,-91,-251,441,210,1128,-59,-89,-233,521,136,1039,-46,-125,-229,118,103,905,-49,-128,-233,96,39,726,-54,-130,-235,22,32,507,-58,-131,-240,-22,34,213,-54,-106,-246,-25,35,5,-50,-78,-247,39,18,-16,-53,-74,-248,50,3,10
left,-56,-79,-249,18,23,-18,-51,-77,-249,6,40,-15,-54,-76,-246,5,29,-30,-51,-75,-248,22,24,-36,-50,-71,-247,65,20,-18,-48,-76,-248,-22,20,-6,-50,-82,-248,-5,29,-18,-57,-134,-236,-13,31,-151,-55,-173,-223,-129,11,-599,-47,-162,-226,-387,-52,-1017,-41,-121,-244,-492,-114,-1165,-56,-76,-243,-560,-219,-1213,-61,-33,-249,-516,-243,-1175,-61,19,-254,-414,-207,-945,-58,58,-271,-376,-122,-630,-56,74,-278,-65,3,-204,-56,53,-275,43,106,161,-46,36,-267,255,161,524,-40,-13,-251,479,107,829,-55,-52,-254,374,179,820,-45,-49,-253,265,114,873,-47,-64,-245,461,76,920,-47,-113,-234,350,53,857,-49,-112,-237,143,39,545,-49,-112,-244,51,8,346,-45,-87,-252,134,38,108,-53,-91,-257,-48,46,26,-49,-75,-256,96,19,39,-49,-65,-249,28,38,-22,-48,-70,-248,-8,31,-32
left,-46,-67,-250,28,16,-21,-47,-67,-254,7,12,-39,-49,-64,-251,27,20,-33,-46,-61,-253,12,26,-29,-47,-64,-254,9,14,15,-48,-72,-253,-19,21,9,-50,-91,-252,31,32,-44,-47,-146,-244,26,16,-231,-44,-171,-240,-160,21,-635,-43,-132,-239,-39,-13,-958,-58,-131,-246,-573,-90,-1220,-55,-29,-237,-525,-86,-1212,-53,-3,-249,-779,-65,-1001,-29,22,-251,-323,-150,-759,-37,76,-264,-257,-121,-493,-39,71,-280,-212,1,-102,-40,70,-274,235,7,323,-45,38,-267,320,46,606,-40,5,-255,633,77,801,-48,-39,-252,230,139,1038,-53,-82,-261,293,111,1141,-49,-62,-243,44,177,692,-39,-96,-249,46,63,645,-39,-112,-254,189,-35,416,-38,-111,-249,-44,38,46,-34,-71,-255,-11,56,-105,-36,-50,-255,49,9,-85,-39,-41,-257,3,30,-74,-38,-39,-256,4,17,-26,-37,-43,-259,17,0,-3
left,-36,-41,-261,28,-1,19,-38,-45,-258,23,11,38,-37,-51,-260,55,18,35,-37,-60,-255,51,6,-1,-37,-72,-256,66,4,-49,-41,-105,-254,105,0,-214,-40,-126,-257,-50,33,-558,-38,-124,-252,-136,4,-825,-41,-104,-245,-264,-77,-993,-52,-63,-244,-167,-134,-1061,-47,-22,-252,-173,-108,-1038,-38,15,-263,-453,-93,-752,-36,50,-270,-167,-124,-468,-35,62,-277,-81,-35,-126,-32,53,-278,131,34,310,-44,32,-268,179,122,606,-41,12,-264,331,145,885,-42,-27,-256,450,77,1143,-46,-77,-252,486,27,1215,-46,-115,-233,293,42,1007,-50,-122,-238,288,-62,788,-49,-105,-247,115,-20,484,-55,-102,-250,50,-14,294,-53,-92,-253,32,43,2,-50,-74,-253,-36,60,-95,-47,-59,-254,-9,48,-95,-47,-57,-253,10,21,-41,-45,-51,-251,36,8,-36,-41,-49,-256,19,0,5,-47,-61,-256,37,-1,-6
left,-46,-56,-255,49,3,7,-44,-54,-252,23,15,-3,-46,-56,-254,1,4,27,-50,-62,-255,59,17,-6,-44,-63,-252,78,28,-26,-45,-86,-250,63,11,-73,-50,-114,-249,56,9,-213,-63,-153,-243,-28,76,-780,-45,-130,-238,-223,68,-1180,-44,-91,-236,-344,-60,-1234,-42,-37,-247,-404,-147,-1149,-48,-21,-262,-253,-146,-967,-38,-6,-265,-155,-133,-724,-35,17,-259,-42,-73,-519,-35,38,-267,-126,17,-169,-41,48,-269,92,45,161,-39,29,-271,163,73,622,-58,-4,-260,201,194,718,-35,-1,-257,272,108,1042,-45,-48,-262,307,99,1249,-51,-101,-254,353,75,1203,-47,-126,-238,94,37,898,-44,-120,-242,-31,0,552,-54,-121,-247,-4,-17,335,-50,-93,-255,120,-4,79,-46,-77,-258,77,14,-7,-46,-60,-256,63,12,0,-47,-61,-255,46,25,1,-45,-61,-252,-1,23,-12,-46,-60,-251,-19,17,-14
left,-48,-63,-255,7,0,13,-47,-61,-255,38,19,-17,-44,-61,-254,31,22,-20,-43,-66,-256,7,15,-20,-46,-70,-256,45,39,-49,-47,-109,-247,49,57,-163,-51,-151,-234,-55,45,-538,-48,-150,-228,-92,14,-1071,-26,-109,-232,-378,-209,-1516,-46,-68,-245,-323,-210,-1320,-59,-23,-252,-495,-210,-1215,-59,3,-261,-364,-172,-963,-41,55,-267,-490,-29,-555,-41,93,-276,-24,-43,-83,-42,70,-271,99,41,354,-57,35,-262,249,72,748,-43,7,-264,488,111,983,-47,-30,-247,527,49,1127,-60,-73,-252,337,78,1192,-57,-118,-245,279,40,1025,-46,-125,-244,133,31,690,-57,-125,-243,-2,119,227,-43,-89,-249,105,63,114,-45,-61,-252,61,66,16,-43,-63,-255,14,42,79,-45,-66,-254,25,50,-12,-41,-62,-252,-12,40,-40,-43,-60,-252,2,17,-19,-42,-55,-249,30,0,-23,-43,-59,-254,0,-13,41
left,-45,-58,-255,54,-10,48,-44,-63,-255,22,9,13,-45,-67,-255,-18,20,-24,-47,-82,-251,51,21,-64,-42,-101,-248,3,31,-225,-48,-139,-243,-117,25,-545,-42,-130,-242,-92,56,-966,-34,-111,-235,-368,14,-1268,-39,-63,-241,-550,-44,-1229,-45,-18,-255,-313,-163,-1052,-40,20,-257,-95,-155,-804,-45,73,-268,-280,-101,-476,-42,68,-279,-5,-14,-46,-28,37,-272,233,-3,404,-40,-2,-262,449,2,634,-44,-34,-266,78,149,641,-44,-24,-261,306,87,807,-45,-37,-244,444,46,935,-42,-85,-245,239,39,1003,-50,-97,-245,103,9,854,-56,-96,-248,165,5,609,-54,-85,-241,210,-5,440,-50,-103,-248,207,-9,369,-55,-114,-255,-38,49,83,-50,-90,-253,-46,26,-32,-51,-70,-255,32,10,-71,-49,-63,-253,43,26,-70,-49,-61,-255,31,7,-39,-51,-60,-252,14,8,-15,-55,-63,-251,36,17,-5
left,-50,-66,-251,41,15,-19,-46,-69,-251,58,0,-17,-47,-73,-253,91,-2,-69,-49,-107,-247,51,-13,-124,-47,-134,-242,-91,-47,-436,-42,-122,-244,-39,-43,-721,-48,-119,-247,-367,-99,-899,-56,-103,-245,-169,-163,-946,-61,-58,-238,-238,-179,-998,-56,-35,-242,-424,-214,-906,-48,18,-259,-235,-180,-702,-50,34,-277,-131,-140,-329,-55,37,-283,10,-22,15,-55,7,-273,173,124,299,-54,-4,-257,393,164,429,-53,-14,-250,337,175,606,-56,-26,-246,414,167,829,-61,-55,-246,389,181,918,-53,-79,-239,509,62,976,-59,-117,-236,263,84,932,-61,-144,-228,266,-9,741,-59,-142,-233,221,-22,391,-62,-129,-240,147,1,148,-60,-102,-245,81,17,0,-61,-88,-244,17,46,-56,-61,-81,-246,29,14,-20,-62,-85,-243,-76,33,-26,-62,-86,-244,-67,23,-43,-59,-85,-245,6,0,-28,-60,-81,-244,16,-3,-14
