Lable,AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,AccX21,AccY21,AccZ21,GyrX21,GyrY21,GyrZ21,AccX22,AccY22,AccZ22,GyrX22,GyrY22,GyrZ22,AccX23,AccY23,AccZ23,GyrX23,GyrY23,GyrZ23,AccX24,AccY24,AccZ24,GyrX24,GyrY24,GyrZ24,AccX25,AccY25,AccZ25,GyrX25,GyrY25,GyrZ25,AccX26,AccY26,AccZ26,GyrX26,GyrY26,GyrZ26,AccX27,AccY27,AccZ27,GyrX27,GyrY27,GyrZ27,AccX28,AccY28,AccZ28,GyrX28,GyrY28,GyrZ28,AccX29,AccY29,AccZ29,GyrX29,GyrY29,GyrZ29,AccX30,AccY30,AccZ30,GyrX30,GyrY30,GyrZ30
right,-11,-82,-253,-17,32,-34,-14,-85,-252,76,6,8,-13,-84,-249,54,4,0,-12,-90,-249,23,21,-13,-14,-90,-251,15,24,-18,-15,-85,-248,12,26,-42,-12,-81,-253,39,21,-14,-21,-32,-284,13,161,-1,-22,21,-282,-7,367,180,-13,24,-271,-88,399,797,-30,-13,-257,400,322,1298,-39,-113,-232,381,340,1696,-54,-182,-213,412,101,1437,-55,-197,-212,168,195,707,-35,-195,-221,206,199,235,-28,-171,-213,128,119,65,-30,-167,-211,-52,4,-201,-25,-174,-219,-141,-58,-530,-25,-199,-208,-152,-224,-820,-33,-165,-204,-254,-290,-1072,-28,-141,-226,-300,-346,-1288,-17,-73,-242,-108,-405,-1147,-25,-32,-267,-269,-373,-851,-23,-5,-282,-124,-241,-531,-15,-16,-279,-58,-170,-208,-22,-53,-260,-28,-117,-42,-20,-76,-248,-89,-45,-31,-23,-89,-250,42,-26,-29,-13,-86,-249,21,-13,-5,-16,-89,-252,0,1,9
right,-18,-95,-254,54,-13,3,-19,-88,-252,11,15,-50,-16,-84,-252,-23,-2,-20,-16,-94,-253,-54,5,-11,-17,-90,-254,-17,17,-33,-20,-62,-261,-26,74,-6,-15,12,-275,-219,192,171,-19,55,-286,-76,251,700,-45,26,-278,103,307,1431,-72,-46,-255,431,363,1619,-72,-134,-219,782,284,1721,-69,-181,-210,305,242,1159,-57,-190,-203,136,227,602,-52,-204,-199,57,47,143,-32,-161,-215,3,-27,-86,-46,-186,-217,-117,-69,-454,-42,-178,-226,-34,-63,-779,-44,-168,-227,-7,-98,-1074,-41,-146,-221,121,-155,-1222,-32,-120,-224,-313,-267,-1236,-23,-89,-237,-114,-369,-1052,-17,-55,-253,-327,-335,-837,-21,-25,-266,-270,-279,-523,-23,-10,-265,-267,-159,-290,-21,-30,-264,-133,-93,-106,-17,-61,-263,-113,-68,-30,-14,-79,-258,-60,-18,35,-19,-89,-255,-12,4,20,-9,-91,-253,-37,5,-5,-10,-91,-253,17,2,-15
right,-16,-88,-251,23,-6,-26,-16,-83,-256,5,-3,-41,-17,-76,-257,43,10,-43,-17,-79,-257,-4,33,-15,-12,-74,-261,1,30,29,-21,-57,-264,1,131,39,-16,0,-277,4,251,263,-22,22,-268,-164,312,663,-28,0,-262,69,172,1188,-57,-86,-267,130,295,1421,-43,-132,-247,44,340,1208,-35,-142,-236,86,249,1041,-41,-143,-223,128,192,711,-29,-156,-230,236,96,372,-37,-159,-224,151,30,122,-45,-197,-213,-157,-22,-457,-26,-170,-217,-7,-49,-872,-31,-152,-219,-376,-128,-1311,-18,-113,-236,-53,-307,-1351,-20,-45,-254,-2,-325,-1155,-29,-39,-279,-109,-329,-863,-27,-15,-262,112,-333,-547,-23,-32,-263,-201,-250,-423,-22,-33,-269,39,-148,-223,-24,-46,-269,-76,-45,-118,-20,-58,-262,-93,-13,-67,-16,-76,-252,-17,7,-32,-16,-76,-248,14,-5,7,-19,-79,-252,-6,-1,-29,-19,-77,-257,8,8,-23
right,-18,-75,-254,19,15,-26,-17,-75,-253,16,18,-36,-13,-72,-255,40,6,5,-16,-75,-255,5,21,-15,-16,-76,-252,0,21,-16,-15,-66,-254,46,31,4,-18,-46,-268,73,99,73,-26,-9,-278,15,243,238,-21,48,-271,-123,322,593,-36,32,-267,144,269,1148,-55,-33,-254,183,228,1625,-53,-95,-237,205,113,1879,-85,-183,-223,539,-58,1485,-71,-197,-223,345,165,641,-50,-214,-212,202,203,-21,-50,-188,-203,25,92,-545,-36,-185,-220,-98,-21,-998,-40,-157,-216,-84,-166,-1349,-34,-130,-228,10,-245,-1339,-37,-100,-239,-100,-353,-1361,-27,-54,-258,-103,-356,-1172,-26,-9,-270,-446,-261,-791,-20,16,-275,-360,-193,-371,-23,-20,-272,-55,-210,-52,-20,-38,-263,35,-182,20,-21,-74,-258,-110,-56,17,-21,-75,-259,39,-4,-17,-20,-68,-254,61,12,-25,-21,-70,-251,44,2,-5,-22,-75,-253,-27,30,-24
right,-22,-80,-254,-4,37,-40,-17,-77,-252,35,18,-19,-21,-75,-254,12,18,-37,-18,-77,-255,21,16,-38,-18,-66,-253,24,20,-20,-23,-41,-275,63,107,61,-31,32,-286,65,282,192,-27,72,-287,8,329,778,-52,2,-273,454,304,1557,-73,-100,-243,277,499,1586,-55,-145,-218,133,409,1383,-50,-173,-203,23,270,1047,-32,-192,-204,396,107,586,-29,-157,-217,94,92,164,-33,-174,-214,87,-15,-107,-39,-198,-206,-103,-116,-639,-20,-156,-229,71,-170,-1038,-24,-155,-258,-113,-214,-1237,-37,-107,-240,-59,-291,-1314,-38,-74,-250,-382,-294,-1188,-31,-32,-249,-74,-315,-880,-16,14,-249,-128,-291,-542,-25,-21,-262,-86,-284,-270,-25,-28,-268,-67,-207,-80,-29,-63,-268,-161,-87,-98,-21,-73,-267,-83,-24,-86,-18,-79,-263,-75,5,-31,-18,-76,-255,14,41,-30,-20,-74,-249,-14,54,-43,-18,-72,-249,51,33,-28
right,-16,-69,-247,48,0,-24,-18,-75,-252,25,-12,-16,-17,-78,-258,6,1,-13,-18,-74,-255,10,23,-50,-25,-66,-258,62,49,-37,-24,-12,-274,93,142,72,-22,22,-281,-35,273,325,-23,39,-275,234,313,889,-43,-6,-263,377,276,1432,-62,-89,-234,679,366,1590,-59,-182,-219,641,320,1490,-55,-180,-218,36,324,859,-41,-161,-217,223,298,448,-43,-197,-202,-89,121,187,-42,-218,-197,-39,-34,-258,-39,-211,-196,-301,-93,-854,-32,-172,-204,-315,-204,-1206,-29,-127,-226,-227,-209,-1339,-32,-88,-240,-48,-307,-1467,-25,-53,-249,-247,-404,-1340,-16,-2,-275,-326,-337,-877,-26,1,-282,-316,-238,-399,-22,0,-272,52,-246,-170,-28,-44,-265,-48,-111,-41,-22,-57,-257,43,-42,-44,-17,-63,-256,72,7,-10,-13,-74,-255,85,15,8,-14,-77,-251,-11,17,1,-16,-82,-252,36,21,-1,-14,-80,-255,25,10,-19
right,-15,-84,-253,-3,11,-14,-13,-74,-257,73,19,-44,-15,-64,-255,-17,35,7,-21,-55,-266,35,79,64,-25,-22,-277,66,225,185,-24,27,-269,76,286,558,-38,2,-275,135,233,1052,-45,-33,-266,64,261,1405,-60,-83,-250,307,348,1538,-57,-154,-232,432,341,1326,-44,-178,-221,138,281,930,-44,-178,-219,231,224,548,-33,-185,-211,28,131,177,-29,-174,-207,87,-16,-152,-30,-172,-223,-66,-97,-548,-27,-179,-235,-99,-118,-869,-33,-164,-223,182,-203,-1129,-42,-127,-235,-309,-203,-1281,-26,-97,-249,-45,-249,-1176,-25,-50,-250,-368,-302,-982,-15,-22,-270,-510,-302,-737,-16,-5,-271,-151,-277,-403,-19,-17,-271,-146,-184,-203,-24,-47,-261,4,-116,-98,-20,-59,-261,-23,-34,-79,-13,-64,-256,51,22,-19,-16,-67,-251,36,23,10,-13,-87,-253,-10,21,-9,-10,-87,-252,45,2,-24,-10,-80,-251,47,10,-37
right,-13,-79,-255,16,8,-47,-14,-76,-255,-12,11,-30,-13,-76,-257,16,12,-20,-12,-72,-255,36,16,-6,-13,-58,-257,11,62,24,-13,-17,-269,207,111,171,-22,10,-280,-31,262,548,-32,4,-273,138,292,988,-39,-26,-265,240,332,1232,-40,-69,-251,189,407,1360,-49,-117,-234,77,352,1419,-46,-153,-219,313,185,1193,-34,-168,-215,451,161,724,-34,-177,-202,116,70,191,-35,-196,-209,-47,-62,-190,-44,-204,-199,-133,-126,-783,-36,-190,-208,-303,-178,-1325,-35,-138,-236,-333,-196,-1429,-22,-75,-253,-131,-253,-1495,-33,-38,-257,-257,-293,-1233,-28,-25,-263,-222,-341,-868,-32,1,-257,-395,-231,-612,-16,16,-266,-136,-191,-323,-19,-17,-270,-10,-108,-138,-17,-40,-266,49,-42,-35,-19,-55,-262,14,31,-39,-13,-69,-256,-17,19,-15,-10,-68,-256,61,22,-15,-8,-66,-254,58,25,-9,-8,-70,-253,28,-4,-15
right,-14,-68,-252,43,-8,-23,-15,-67,-254,0,6,-52,-12,-65,-259,40,7,-37,-10,-60,-260,22,20,-2,-13,-54,-261,5,50,54,-19,-18,-277,96,171,154,-14,35,-277,31,282,437,-28,51,-273,211,349,993,-51,13,-271,229,312,1445,-53,-51,-244,366,360,1671,-50,-154,-225,528,309,1683,-41,-190,-221,180,244,1072,-36,-186,-216,202,254,481,-27,-214,-202,245,60,-63,-21,-189,-209,157,-55,-576,-24,-201,-222,-260,-187,-1067,-15,-163,-240,-174,-265,-1442,-35,-121,-245,-154,-324,-1521,-24,-82,-242,-65,-364,-1351,-18,-34,-253,-126,-424,-996,-18,-26,-267,-222,-334,-639,-13,-11,-270,-80,-219,-381,-13,-14,-269,-54,-156,-188,-14,-37,-270,-3,-52,-53,-12,-65,-264,-89,11,-30,-9,-82,-255,13,18,32,-7,-84,-250,32,30,8,-3,-93,-248,-1,1,-27,-5,-84,-258,14,6,-20,-6,-85,-256,-73,29,-15
right,-8,-80,-254,-8,2,16,-11,-82,-254,-5,16,-7,-7,-87,-251,-26,26,-23,-7,-83,-253,15,8,-38,-5,-74,-255,9,12,-29,-10,-60,-265,84,62,12,-16,-5,-287,237,226,166,-19,23,-283,161,401,450,-20,36,-270,68,459,1012,-30,-22,-266,257,497,1530,-45,-110,-236,626,542,1771,-45,-189,-209,218,392,1549,-35,-204,-201,48,285,938,-25,-207,-200,19,166,410,-18,-196,-190,104,-28,24,-15,-211,-205,-54,-188,-496,-17,-198,-215,-281,-278,-908,-34,-171,-233,-208,-341,-1297,-35,-160,-229,-190,-448,-1476,-30,-74,-239,-214,-396,-1452,-36,-54,-259,-293,-358,-1259,-23,6,-270,-147,-269,-927,-19,15,-273,-71,-196,-464,-19,-11,-267,18,-132,-136,-15,-60,-258,-155,-53,-33,-3,-63,-256,43,-9,-15,-5,-72,-253,96,13,18,-6,-82,-248,22,15,-14,-1,-89,-248,18,6,-26,-3,-88,-250,-13,-31,-31
