Lable,AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,AccX21,AccY21,AccZ21,GyrX21,GyrY21,GyrZ21,AccX22,AccY22,AccZ22,GyrX22,GyrY22,GyrZ22,AccX23,AccY23,AccZ23,GyrX23,GyrY23,GyrZ23,AccX24,AccY24,AccZ24,GyrX24,GyrY24,GyrZ24,AccX25,AccY25,AccZ25,GyrX25,GyrY25,GyrZ25,AccX26,AccY26,AccZ26,GyrX26,GyrY26,GyrZ26,AccX27,AccY27,AccZ27,GyrX27,GyrY27,GyrZ27,AccX28,AccY28,AccZ28,GyrX28,GyrY28,GyrZ28,AccX29,AccY29,AccZ29,GyrX29,GyrY29,GyrZ29,AccX30,AccY30,AccZ30,GyrX30,GyrY30,GyrZ30
tiltl,-62,-72,-247,-20,24,-5,-63,-73,-245,51,9,-20,-62,-71,-245,14,16,-22,-64,-72,-242,61,11,-21,-63,-72,-244,4,12,-13,-65,-71,-244,16,7,-12,-65,-73,-246,30,4,-4,-65,-75,-245,143,-19,-25,-66,-118,-261,-1666,612,236,-9,-185,-68,-10394,2503,1304,-47,128,-248,-517,88,-618,2,292,-200,-118,-116,-338,-13,212,-201,120,-64,28,-15,201,-193,552,-114,76,-18,171,-199,891,-215,46,-23,171,-216,3200,-725,-163,-59,54,-232,3648,-745,-368,-62,-39,-241,2561,-447,-326,-60,-60,-251,1742,-308,-257,-64,-88,-251,644,-122,-97,-69,-104,-243,165,-5,-40,-65,-86,-240,-112,42,-13,-69,-90,-239,23,19,-41,-69,-82,-243,-68,34,-39,-66,-73,-238,-27,25,-38,-65,-79,-243,-22,23,-13,-67,-81,-244,11,18,-9,-70,-87,-243,-18,31,-3,-68,-83,-243,-8,13,-9,-66,-86,-244,-14,24,-8
tiltl,-65,-83,-242,30,23,-14,-68,-81,-240,14,23,-15,-66,-82,-241,22,29,-11,-66,-86,-242,-8,9,-14,-67,-83,-243,-8,15,-11,-66,-85,-246,16,3,-2,-65,-81,-243,23,1,-16,-76,-90,-248,-297,199,27,-74,-90,-253,-2518,812,347,-67,-62,-247,-4350,1358,554,2,143,-205,-3015,750,273,-2,118,-233,-714,84,-164,-11,167,-226,-53,-70,-95,-6,188,-221,271,-115,12,0,173,-220,1302,-351,7,-20,111,-221,3613,-994,-303,-60,-25,-243,3136,-844,-426,-71,-76,-248,1658,-433,-314,-68,-66,-250,989,-270,-225,-78,-109,-252,207,2,-80,-70,-93,-241,84,-2,-55,-76,-94,-241,-270,146,14,-68,-68,-237,134,-28,-80,-70,-85,-242,-116,39,-42,-65,-80,-243,106,-2,-41,-67,-83,-240,-11,2,-9,-68,-80,-240,39,10,-18,-69,-85,-244,-22,29,-10,-70,-84,-242,36,15,-14,-68,-81,-240,8,9,-8
tiltl,-67,-85,-242,26,13,-14,-68,-87,-243,24,18,-11,-66,-83,-241,27,12,-11,-70,-86,-240,6,21,-15,-69,-85,-242,8,19,-13,-69,-84,-240,34,22,-20,-69,-84,-238,0,18,-11,-90,-123,-248,-982,464,143,-54,-30,-248,-2494,751,233,-37,-13,-236,-3822,1208,410,28,174,-191,-2984,544,152,-22,115,-233,-1261,77,-304,-11,191,-215,-458,-13,-182,-12,195,-214,512,-77,98,-1,180,-199,2246,-523,42,-31,102,-229,3695,-990,-274,-62,-38,-236,2735,-670,-328,-68,-46,-255,1654,-419,-279,-71,-85,-255,697,-141,-173,-70,-85,-243,556,-95,-179,-66,-90,-241,-23,51,-53,-71,-88,-241,-90,58,-15,-69,-86,-242,24,27,-15,-67,-87,-237,-42,39,-8,-70,-81,-237,25,20,3,-71,-83,-242,-26,5,7,-71,-85,-243,35,24,-9,-67,-84,-241,35,6,-7,-67,-86,-240,20,20,-19,-67,-85,-240,8,18,-11
tiltl,-70,-84,-242,27,8,-24,-68,-83,-239,13,21,-6,-69,-85,-241,-19,7,-13,-68,-88,-242,2,15,-12,-68,-88,-242,11,8,-19,-68,-88,-243,34,19,-15,-67,-81,-240,22,19,-20,-70,-83,-240,33,24,-11,-76,-93,-245,-251,138,20,-64,-89,-247,-1949,575,250,-65,-109,-255,-4055,1366,511,-3,88,-208,-3896,969,215,-6,166,-224,-878,106,-259,-9,183,-220,-462,28,-123,-14,164,-218,-22,-41,-1,-7,174,-208,638,-143,18,-1,174,-216,2392,-631,-127,-19,80,-238,3957,-1091,-363,-55,-28,-238,3063,-835,-403,-74,-93,-254,1528,-366,-213,-72,-99,-241,414,-81,-107,-71,-107,-234,467,-18,-125,-66,-95,-229,-6,44,-51,-72,-103,-228,-96,66,-12,-70,-98,-227,-78,30,-34,-69,-97,-234,1,9,-52,-70,-94,-236,-5,20,-29,-66,-92,-237,12,12,-11,-66,-98,-238,-22,26,-13,-72,-94,-236,46,27,-24
tiltl,-70,-95,-232,22,23,-18,-69,-97,-235,24,23,-6,-68,-100,-235,-22,12,-9,-66,-93,-236,55,10,-17,-68,-95,-236,37,12,-20,-66,-95,-234,41,16,-19,-70,-96,-236,-10,14,-10,-77,-112,-246,-249,138,18,-85,-162,-252,-4086,1261,528,-13,-30,-206,-5301,1575,502,42,291,-183,-899,228,-239,7,155,-217,-1101,100,-197,-6,161,-220,-370,17,-96,-2,178,-217,236,-62,46,-1,165,-215,1019,-206,35,-11,142,-228,2231,-539,-107,-24,78,-239,3715,-984,-416,-52,-50,-258,2549,-656,-312,-64,-91,-252,1605,-355,-255,-66,-98,-241,709,-129,-113,-66,-106,-235,210,8,-47,-62,-100,-232,286,-28,-80,-61,-100,-230,59,13,-29,-69,-116,-233,142,7,-21,-68,-106,-230,59,-2,-35,-64,-119,-234,-1,25,-4,-62,-114,-234,-1,0,-3,-62,-111,-230,39,9,-18,-64,-112,-230,-26,15,-12,-62,-113,-234,94,-9,-31
tiltl,-63,-114,-232,5,11,-26,-66,-114,-229,-2,17,-29,-65,-110,-230,-7,27,-9,-66,-117,-233,-4,16,-5,-65,-114,-231,19,11,-9,-64,-112,-231,6,9,-14,-63,-112,-231,13,24,-15,-64,-118,-236,-213,82,20,-67,-123,-242,-849,289,110,-60,-92,-247,-1206,436,97,-57,-83,-232,-3717,1242,445,0,90,-226,-3785,1032,289,10,169,-220,-901,194,-109,6,157,-221,-646,18,-137,0,160,-234,45,-69,-26,4,168,-221,1172,-328,-16,-10,111,-239,3402,-927,-324,-44,-11,-238,3156,-864,-364,-68,-76,-256,1752,-514,-266,-63,-86,-250,1163,-302,-227,-65,-97,-236,567,-110,-170,-67,-109,-234,221,-7,-99,-64,-102,-234,-12,35,-50,-64,-104,-234,-99,56,2,-66,-111,-236,-2,28,-17,-64,-103,-238,-24,20,2,-62,-98,-233,-113,41,21,-65,-102,-236,-54,31,11,-62,-100,-236,-60,16,6,-62,-102,-239,-40,15,15
tiltl,-64,-100,-238,-63,41,17,-59,-80,-238,102,-35,-28,-69,-106,-240,3,44,2,-67,-96,-233,-38,5,-7,-65,-103,-236,-5,17,-1,-65,-98,-237,23,10,-12,-64,-99,-239,3,12,-8,-84,-157,-251,-1312,566,201,-69,-125,-220,-5026,1610,649,29,164,-177,-4324,1004,265,-2,101,-235,-635,90,-185,-5,195,-224,252,-100,-52,-3,154,-229,344,-40,-12,-6,123,-234,475,-85,2,-3,132,-233,1132,-279,-41,0,121,-236,2183,-653,-147,-46,11,-238,3564,-917,-484,-52,-56,-237,2613,-786,-499,-72,-112,-247,1369,-378,-278,-75,-118,-234,357,-94,-105,-72,-123,-233,211,-32,-77,-64,-113,-227,-17,8,-33,-73,-122,-227,-268,93,-4,-63,-95,-228,-5,4,-60,-68,-109,-229,-66,53,-31,-65,-100,-231,31,3,-26,-67,-109,-231,-10,11,-7,-66,-108,-235,-22,18,-6,-67,-109,-231,3,20,-2,-66,-105,-232,65,23,-22
tiltl,-65,-106,-231,18,11,-24,-65,-107,-232,8,18,-12,-65,-109,-233,-28,24,-10,-64,-105,-229,63,25,-17,-67,-107,-230,11,0,-1,-65,-112,-234,-20,19,-8,-67,-108,-233,-98,41,7,-69,-112,-242,-429,183,63,-71,-137,-249,-2858,1024,365,-36,-59,-211,-5781,1795,565,0,238,-202,-1648,490,-128,11,127,-217,-1101,125,-271,9,133,-222,-169,-8,-72,-1,147,-223,652,-164,0,0,136,-227,1349,-387,-110,-4,100,-237,2917,-895,-236,-44,-15,-253,3219,-911,-409,-59,-77,-237,2465,-687,-368,-70,-107,-241,1322,-303,-193,-73,-126,-237,31,40,16,-65,-104,-231,-29,30,7,-66,-108,-232,-340,138,39,-61,-95,-237,-90,43,9,-63,-102,-240,-105,52,-13,-63,-98,-241,0,26,-27,-60,-91,-239,19,15,-38,-60,-92,-238,-11,43,-17,-61,-92,-240,-22,14,-14,-61,-94,-241,16,16,-20,-62,-91,-239,40,23,-20
tiltl,-61,-95,-242,1,17,-15,-63,-91,-240,-6,31,-4,-63,-93,-239,44,25,-18,-60,-93,-236,0,20,-14,-61,-91,-236,39,21,-3,-62,-93,-238,1,6,-5,-62,-95,-241,-15,32,-6,-71,-160,-263,-1779,617,267,-54,-108,-236,-5060,1457,654,23,82,-196,-4327,864,314,-22,87,-246,-660,40,-265,2,194,-221,-285,-84,-203,1,177,-222,170,-38,29,-3,163,-222,524,-145,137,0,174,-215,2618,-676,53,-35,64,-223,4439,-1154,-389,-68,-81,-243,2357,-541,-265,-74,-93,-250,1542,-318,-247,-58,-98,-239,280,-16,-55,-66,-119,-241,253,26,-24,-58,-90,-234,-13,15,-10,-65,-108,-237,-107,77,18,-62,-89,-235,338,-57,-83,-61,-98,-234,-7,42,-24,-64,-98,-238,128,23,-51,-62,-100,-235,23,43,-30,-62,-104,-234,23,52,-29,-60,-107,-236,-45,36,-9,-61,-101,-233,-15,61,-29,-59,-98,-232,47,17,-46
tiltl,-61,-100,-237,6,17,-12,-58,-103,-237,0,23,-9,-58,-101,-236,3,15,-8,-61,-101,-236,13,4,13,-58,-106,-242,-99,50,2,-60,-105,-239,-18,32,-5,-61,-104,-239,-101,41,-4,-63,-145,-254,-2181,648,311,-53,-102,-252,-5498,1621,591,33,211,-195,-2696,486,-78,-22,104,-245,-953,92,-164,-3,156,-229,-138,-1,-111,0,156,-229,185,-4,25,2,147,-227,356,-105,25,-9,147,-232,1225,-291,0,0,118,-231,3266,-896,-220,-40,-26,-245,3352,-865,-367,-63,-86,-246,2118,-595,-310,-65,-98,-241,685,-172,-74,-66,-104,-239,351,-14,-76,-64,-110,-237,147,47,-41,-62,-110,-234,-50,68,-12,-61,-106,-232,-148,84,8,-59,-98,-235,-74,57,-10,-62,-107,-238,-223,123,19,-58,-78,-235,260,-56,-58,-59,-104,-237,-241,99,31,-57,-82,-238,-16,10,-3,-59,-96,-247,1,10,-9,-58,-93,-243,6,21,-1
