#,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
0,22,38,-249,90,0,2
1,22,37,-249,90,0,-2
2,21,35,-249,86,2,-6
3,21,33,-250,82,6,-6
4,21,32,-250,78,6,-10
5,21,31,-250,64,8,-8
6,21,30,-250,62,14,-12
7,21,29,-250,32,22,-18
8,21,29,-250,28,24,-20
9,21,29,-250,20,24,-24
10,21,29,-250,24,24,-22
11,21,29,-250,14,24,-22
12,21,29,-250,2,30,-26
13,21,30,-250,0,28,-26
14,21,30,-250,0,30,-26
15,21,30,-250,-6,28,-28
16,21,30,-250,0,26,-26
17,21,31,-250,8,26,-24
18,21,32,-250,8,24,-22
19,21,32,-250,10,22,-18
20,21,31,-250,12,22,-18
21,21,31,-250,12,22,-16
22,21,31,-250,8,20,-16
23,21,31,-250,8,18,-16
24,21,31,-250,-6,18,-16
25,21,32,-250,2,18,-16
26,21,32,-250,8,12,-18
27,21,33,-250,2,14,-18
28,21,33,-250,0,14,-18
29,21,33,-250,2,14,-20
30,21,34,-250,-4,18,-20
31,21,34,-250,-2,18,-22
32,21,34,-250,-6,20,-22
33,21,34,-250,0,20,-24
34,21,35,-250,-4,20,-26
35,21,35,-250,-18,22,-24
36,21,37,-250,18,22,-26
37,21,37,-250,-4,20,-26
38,21,37,-250,-22,24,-28
39,20,41,-248,22,4,16
40,21,39,-249,-12,16,-14
41,21,39,-249,-12,16,-12
42,21,40,-249,-4,16,-12
43,21,41,-249,-8,16,-14
44,21,42,-249,0,16,-18
45,21,41,-249,10,16,-18
46,21,42,-249,12,16,-18
47,21,42,-249,14,18,-20
48,21,43,-249,14,16,-18
49,21,43,-249,16,16,-22
50,21,42,-249,20,20,-22
51,21,42,-250,14,18,-22
52,21,41,-249,10,16,-20
53,21,42,-249,10,14,-20
54,21,42,-249,18,16,-20
55,21,42,-249,20,18,-22
56,21,42,-249,12,20,-20
57,21,42,-249,6,18,-18
58,21,42,-249,8,18,-20
59,21,42,-249,20,16,-18
60,21,42,-250,22,18,-20
61,21,42,-249,22,18,-20
62,21,41,-249,22,18,-18
63,21,42,-249,30,20,-18
