Lable,AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,AccX21,AccY21,AccZ21,GyrX21,GyrY21,GyrZ21,AccX22,AccY22,AccZ22,GyrX22,GyrY22,GyrZ22,AccX23,AccY23,AccZ23,GyrX23,GyrY23,GyrZ23,AccX24,AccY24,AccZ24,GyrX24,GyrY24,GyrZ24,AccX25,AccY25,AccZ25,GyrX25,GyrY25,GyrZ25,AccX26,AccY26,AccZ26,GyrX26,GyrY26,GyrZ26,AccX27,AccY27,AccZ27,GyrX27,GyrY27,GyrZ27,AccX28,AccY28,AccZ28,GyrX28,GyrY28,GyrZ28,AccX29,AccY29,AccZ29,GyrX29,GyrY29,GyrZ29,AccX30,AccY30,AccZ30,GyrX30,GyrY30,GyrZ30

left,-36,36,-260,38,121,23,-36,32,-258,26,10,-16,-38,36,-257,39,19,-35,-37,31,-259,24,10,-16,-38,34,-259,25,19,-6,-36,33,-259,11,12,-12,-38,30,-258,23,16,-15,-37,31,-258,18,8,-16,-36,31,-261,19,0,-23,-37,34,-257,49,-39,-33,-38,24,-257,44,-48,-20,-40,32,-258,20,-8,-32,-40,24,-260,6,-8,-17,-41,32,-258,27,-17,-2,-42,28,-260,28,-35,-31,-46,22,-257,27,-56,3,-46,27,-258,-5,-54,28,-44,32,-259,29,-75,19,-42,36,-262,-82,-47,50,-27,35,-269,-529,-264,-75,-105,39,-272,-243,19,69,-139,12,-341,1051,429,-371,-58,-9,-316,-603,815,-612,-7,63,-258,-701,327,-587,-8,73,-208,-382,256,-340,-22,76,-226,-384,69,-129,-9,94,-208,-461,-62,-5,-3,116,-225,-184,-116,100,-14,91,-241,-63,-115,136,-14,98,-240,-105,-89,74
left,-17,96,-247,-35,-70,58,-21,99,-252,11,-66,46,-25,100,-251,-8,-12,23,-27,96,-251,21,20,9,-27,95,-249,37,41,2,-26,94,-248,38,62,-6,-26,94,-242,-6,46,-21,-28,91,-245,6,2,-18,-32,72,-254,25,20,-71,-41,15,-285,30,198,-311,-29,31,-297,-135,568,-784,-43,29,-275,-21,739,-897,-33,67,-258,-92,715,-1155,-31,77,-257,15,694,-1247,-29,121,-211,139,595,-1153,-13,172,-204,-473,482,-916,-7,217,-206,-250,354,-502,3,235,-199,-60,112,-15,6,197,-203,46,-258,555,-16,139,-220,-53,-469,788,-17,126,-223,-133,-520,826,-14,110,-236,-37,-704,926,-24,90,-259,-63,-684,913,-30,81,-261,179,-580,818,-29,67,-269,271,-490,663,-27,53,-268,27,-303,446,-26,59,-259,29,-108,203,-24,81,-255,-29,32,12,-19,97,-249,75,72,-57,-15,112,-242,-28,57,-57
left,-19,113,-244,20,48,-56,-15,115,-242,51,48,-48,-18,111,-240,-2,21,-28,-18,110,-242,12,20,-29,-18,111,-245,4,23,-23,-18,104,-247,-1,31,-44,-21,95,-251,-4,76,-85,-21,65,-260,8,168,-237,-26,36,-275,-1,386,-573,-24,61,-267,-145,606,-865,-18,77,-256,-232,653,-1062,-17,96,-236,-85,533,-1037,-38,116,-235,-50,521,-1041,-25,142,-222,-248,600,-1025,-12,191,-205,1,475,-760,-4,212,-202,23,248,-333,-9,204,-203,152,47,81,1,167,-216,41,-171,396,-7,135,-232,49,-293,570,-2,118,-237,28,-317,592,3,98,-236,4,-372,548,0,116,-242,11,-368,515,-9,120,-241,115,-330,538,-15,120,-238,74,-287,525,-11,112,-243,6,-304,523,-19,114,-244,94,-284,481,-10,102,-250,-10,-236,419,-11,101,-248,83,-202,381,-14,102,-242,76,-137,284,-9,100,-246,98,-157,271
left,-14,87,-253,74,-126,198,-15,89,-256,25,-26,93,-12,97,-247,75,20,17,-10,102,-245,38,41,-25,-13,100,-247,49,65,-76,-15,91,-252,10,102,-155,-10,81,-259,19,168,-219,-11,54,-273,38,284,-415,-12,52,-264,51,496,-704,-2,77,-252,-114,525,-880,0,117,-238,-137,415,-842,-6,115,-241,-123,291,-774,-13,136,-230,3,287,-709,-17,125,-234,-4,301,-607,-17,171,-216,-92,334,-548,-6,190,-211,-155,233,-237,5,199,-202,78,-35,158,-8,166,-209,85,-256,447,-10,139,-227,63,-342,593,-10,120,-233,90,-400,658,-16,108,-245,26,-434,649,-14,112,-252,21,-363,600,-12,101,-250,6,-327,578,-16,111,-247,-15,-257,482,-13,95,-252,8,-208,417,-10,93,-251,54,-241,369,-16,91,-246,58,-130,243,-13,91,-248,96,-132,175,-15,102,-251,119,-99,129,-14,100,-254,51,-5,27
left,-12,106,-252,54,34,-8,-11,111,-243,-23,104,-62,-7,113,-240,1,43,-27,-11,100,-250,76,16,-24,-17,68,-259,25,162,-216,-12,78,-257,30,300,-394,-16,90,-256,-3,387,-538,-12,71,-258,-154,474,-719,-6,86,-252,-47,509,-829,-10,113,-244,-195,481,-855,-16,120,-235,15,428,-780,-15,117,-234,-139,434,-807,-18,141,-230,-83,486,-810,-1,189,-214,24,433,-566,8,212,-197,-8,227,-130,9,195,-199,79,-105,312,-2,164,-210,134,-359,602,-5,140,-230,47,-471,726,-4,121,-242,61,-446,786,6,101,-250,108,-552,811,-12,96,-246,13,-397,686,-7,97,-250,55,-376,596,-8,100,-247,87,-307,525,-9,101,-248,72,-347,513,-8,87,-255,38,-321,442,-16,87,-256,-63,-199,287,-14,88,-253,2,-137,210,-14,96,-252,-18,-60,130,-12,97,-251,33,2,42,-7,108,-246,43,-2,22
left,-7,103,-248,23,41,-21,-7,111,-242,50,35,-29,-8,110,-241,11,4,-21,-11,111,-243,44,16,-12,-14,101,-249,32,43,-39,-14,81,-255,-6,132,-154,-18,59,-260,18,263,-367,-21,45,-268,-94,492,-681,-14,64,-260,-122,645,-948,-11,93,-253,-64,683,-1088,-8,127,-238,-153,648,-1056,-2,139,-226,-40,540,-945,-16,147,-215,-175,424,-784,2,200,-202,-38,292,-524,5,213,-196,86,29,-42,1,199,-203,36,-218,372,4,162,-222,61,-455,659,-10,138,-221,152,-425,757,-15,120,-235,97,-521,812,-12,107,-241,37,-555,759,2,97,-253,-59,-643,752,-21,87,-257,-4,-507,597,-17,84,-255,77,-378,451,-21,96,-251,63,-247,312,-23,101,-250,78,-137,208,-22,112,-247,71,-106,159,-21,106,-250,78,-60,109,-22,100,-252,40,33,16,-17,107,-245,19,48,-21,-17,108,-241,-14,60,-46
left,-16,110,-238,17,44,-34,-18,118,-236,40,5,-15,-14,119,-238,20,-1,-15,-16,117,-238,44,8,-10,-17,97,-257,-25,25,-44,-22,85,-254,-75,171,-182,-23,75,-259,-116,270,-342,-15,74,-261,-44,380,-526,-19,82,-255,-116,528,-740,-20,91,-256,-183,632,-871,-24,104,-248,-134,701,-986,-23,117,-237,-67,670,-1040,-20,148,-229,-266,765,-1103,-14,166,-208,0,705,-967,-2,199,-191,-126,538,-618,11,227,-179,23,114,-123,4,212,-199,77,-194,369,-6,187,-205,182,-398,757,-12,160,-210,134,-537,936,-10,122,-230,16,-641,975,-14,107,-238,61,-696,925,1,85,-256,-147,-655,749,-1,104,-262,-10,-641,702,-18,106,-255,146,-504,610,-18,97,-260,131,-390,525,-22,94,-257,119,-149,297,-11,112,-239,50,-103,193,-16,109,-242,53,-48,127,-12,112,-242,104,-34,80,-11,112,-239,84,12,28
left,-11,115,-240,46,15,4,-9,115,-239,41,15,-8,-10,113,-240,30,11,-10,-10,119,-239,3,13,-25,-10,114,-242,-3,9,-13,-11,114,-242,10,9,-11,-16,92,-257,50,59,-70,-19,58,-270,-46,264,-339,-13,59,-267,-9,537,-672,-8,76,-257,-138,624,-879,-6,103,-252,-228,632,-970,-13,112,-236,-180,616,-949,-16,123,-233,-231,633,-990,-24,143,-229,-251,673,-1036,-19,152,-223,-140,713,-1032,0,199,-198,-49,617,-781,19,231,-181,94,323,-235,26,229,-179,256,-201,347,-2,189,-201,115,-394,654,-4,159,-210,146,-541,807,3,140,-218,137,-658,896,1,122,-232,43,-758,926,-3,110,-240,117,-810,875,-13,103,-249,128,-890,882,-29,87,-259,58,-811,808,-41,92,-254,256,-636,612,-41,85,-259,223,-478,458,-47,86,-254,220,-252,256,-40,90,-251,91,-63,92,-33,110,-241,86,-37,44
left,-35,114,-237,65,-19,28,-35,109,-242,-25,-17,18,-35,107,-244,-1,7,9,-33,111,-240,19,9,-1,-34,111,-238,-13,24,-11,-37,111,-238,-6,4,-7,-39,112,-239,21,30,-16,-40,104,-248,25,76,-42,-39,87,-260,33,200,-172,-42,62,-268,-64,392,-374,-53,30,-266,-362,685,-804,-44,49,-265,-147,914,-1163,-41,78,-240,-440,1032,-1438,-36,129,-220,-446,1036,-1491,-35,163,-219,-402,898,-1339,-30,197,-192,-55,807,-1040,6,231,-187,-38,473,-518,6,244,-175,99,34,65,-6,205,-192,149,-305,498,-11,180,-202,130,-564,822,-15,154,-219,183,-651,963,-14,135,-226,248,-711,1032,-13,110,-238,250,-768,1060,-17,104,-241,195,-763,971,-26,94,-248,103,-612,809,-35,86,-260,172,-470,641,-26,88,-258,119,-355,458,-27,93,-254,93,-244,308,-27,97,-250,134,-106,185,-23,102,-248,120,-61,124
