Lable,AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,AccX21,AccY21,AccZ21,GyrX21,GyrY21,GyrZ21,AccX22,AccY22,AccZ22,GyrX22,GyrY22,GyrZ22,AccX23,AccY23,AccZ23,GyrX23,GyrY23,GyrZ23,AccX24,AccY24,AccZ24,GyrX24,GyrY24,GyrZ24,AccX25,AccY25,AccZ25,GyrX25,GyrY25,GyrZ25,AccX26,AccY26,AccZ26,GyrX26,GyrY26,GyrZ26,AccX27,AccY27,AccZ27,GyrX27,GyrY27,GyrZ27,AccX28,AccY28,AccZ28,GyrX28,GyrY28,GyrZ28,AccX29,AccY29,AccZ29,GyrX29,GyrY29,GyrZ29,AccX30,AccY30,AccZ30,GyrX30,GyrY30,GyrZ30

tiltl,-29,93,-250,7,11,-12,-29,89,-250,-6,20,-6,-30,87,-249,24,10,1,-30,86,-246,43,13,-8,-30,87,-248,7,9,-25,-29,88,-249,4,-1,-25,-30,89,-250,19,0,-15,-33,89,-249,29,-8,-12,-31,87,-251,43,14,-21,-31,87,-249,28,20,-27,-32,88,-248,25,19,-28,-32,86,-247,14,8,-15,-31,88,-250,0,-12,-3,-31,89,-250,17,-4,3,-33,88,-252,28,7,-3,-31,87,-249,6,20,-4,-30,85,-249,35,15,-8,-31,86,-248,9,11,-11,-30,86,-248,24,7,-7,-32,87,-249,15,5,-9,-32,88,-250,25,17,-14,-30,85,-250,30,16,-10,-32,87,-251,14,2,-8,-32,85,-248,20,18,-8,-35,87,-245,24,5,-9,-33,85,-250,9,-5,-18,-32,86,-251,32,0,-12,-32,84,-250,18,6,-15,-31,87,-248,11,11,-14,-33,85,-249,33,9,-11
tiltl,-32,87,-248,35,10,-20,-34,82,-250,84,-9,-16,-35,80,-250,8,1,-21,-35,83,-249,20,3,-16,-35,83,-252,21,8,-13,-33,82,-251,-10,12,-14,-34,74,-254,-274,42,-24,-42,69,-256,-1397,288,20,-31,115,-247,-2097,412,10,-16,168,-196,-2147,535,-61,-8,202,-160,-2064,500,-247,-7,240,-119,-1455,309,-234,-16,255,-117,-519,89,-98,-16,249,-118,147,19,29,-5,263,-115,1233,-271,90,-20,215,-158,1812,-279,62,-13,178,-185,2953,-545,-50,-33,114,-228,2435,-328,-61,-31,95,-237,1807,-243,-125,-32,68,-249,1547,-214,-88,-51,12,-265,1029,-167,-75,-45,9,-265,611,-90,-35,-46,-4,-267,-28,31,-5,-48,5,-260,-19,26,-11,-44,10,-258,-51,26,-31,-47,9,-259,-80,34,-20,-45,13,-259,-100,25,-17,-47,18,-259,52,11,-15,-46,12,-257,-20,16,-13,-45,16,-261,-31,19,-12
tiltl,-44,13,-258,-7,19,-8,-44,14,-258,-22,-3,-10,-47,12,-259,-87,41,1,-45,18,-258,14,9,-20,-45,17,-259,9,20,-24,-45,21,-259,35,13,-24,-47,18,-259,-28,19,-21,-43,24,-261,-243,68,8,-41,38,-257,-220,37,-33,-45,14,-270,-1731,301,60,-35,84,-246,-1990,316,26,-24,95,-220,-2973,599,157,-12,175,-182,-2824,541,124,-2,232,-141,-1178,185,-99,-7,244,-133,-502,49,-100,-9,252,-135,373,-170,20,-8,230,-136,1424,-395,-4,-22,203,-183,3353,-727,-203,-43,99,-231,2691,-455,-176,-42,80,-249,1994,-309,-176,-48,41,-254,1616,-243,-145,-40,23,-259,824,-139,-52,-59,-5,-265,357,-9,-24,-51,3,-257,25,37,-13,-55,2,-256,30,50,8,-55,0,-257,-24,28,12,-55,4,-255,-106,38,2,-51,4,-258,-15,21,-17,-52,7,-254,4,20,-15,-51,6,-258,12,14,-8
tiltl,-52,9,-256,17,9,-7,-55,3,-258,25,19,-7,-53,4,-257,19,4,-23,-54,4,-256,8,6,-11,-55,5,-257,21,8,-26,-52,6,-257,7,23,-13,-55,5,-258,10,9,-10,-54,4,-259,-64,28,-2,-57,-5,-267,-521,132,38,-54,7,-266,-909,219,65,-46,32,-265,-2298,492,185,-22,107,-237,-3011,595,248,-15,151,-202,-2794,622,244,4,215,-153,-1411,239,-75,-7,229,-147,-541,95,-69,-6,236,-148,-37,1,-39,1,227,-138,794,-264,0,-6,233,-151,3110,-751,-248,-22,129,-205,3461,-704,-241,-45,54,-245,2974,-497,-270,-51,1,-265,1799,-288,-137,-59,-28,-268,328,-48,-26,-56,-6,-259,-135,19,-21,-58,-3,-259,-264,84,-19,-57,5,-258,-33,33,-44,-54,6,-257,-68,41,-20,-57,4,-257,-15,37,-15,-54,10,-256,-160,48,-15,-55,8,-256,-20,31,-11,-54,7,-258,-32,27,-12
tiltl,-54,6,-258,-108,50,-7,-53,8,-258,5,31,-17,-53,6,-256,19,25,-27,-53,10,-257,24,15,-21,-53,12,-255,43,15,-24,-51,8,-255,12,0,-28,-52,12,-256,4,23,-17,-53,9,-260,-135,46,-2,-51,20,-260,-452,108,4,-57,4,-273,-2021,455,126,-50,64,-256,-2608,552,164,-23,133,-211,-3045,761,227,9,217,-156,-1559,387,35,0,212,-161,-801,147,-132,-8,227,-154,-131,-58,-57,-11,233,-159,601,-174,7,1,238,-153,2114,-512,-217,1,143,-199,3488,-696,-250,-41,59,-257,2450,-377,-193,-51,28,-258,2027,-323,-203,-53,3,-264,1294,-150,-103,-60,-36,-268,179,32,-3,-51,1,-249,-47,1,-22,-54,-13,-258,-498,127,55,-53,5,-253,-6,9,-5,-49,9,-253,-224,37,6,-54,2,-262,-40,20,13,-54,4,-259,36,0,-17,-52,4,-259,55,15,-12,-52,5,-259,9,34,-21
tiltl,-51,3,-257,46,21,-21,-51,5,-259,0,19,-28,-51,2,-257,35,13,-23,-53,2,-257,-3,20,-18,-52,2,-259,8,14,-14,-54,1,-259,-76,31,-6,-51,11,-255,9,21,-36,-49,4,-259,-82,34,-8,-55,-7,-268,-1178,259,79,-45,41,-258,-1635,362,55,-42,50,-271,-3470,782,277,-9,150,-195,-3320,818,245,0,214,-163,-849,348,-4,10,216,-154,-502,128,-56,1,219,-151,176,-125,0,6,227,-153,1333,-373,-117,-12,178,-189,2885,-684,-268,-29,100,-232,2311,-475,-147,-37,82,-252,1984,-445,-147,-54,18,-269,1464,-235,-32,-52,-1,-265,1069,-156,-33,-52,-13,-260,287,4,1,-54,-14,-257,48,40,-14,-50,-13,-258,-46,42,-20,-48,1,-254,-162,57,-30,-51,-7,-257,-83,43,-26,-49,1,-259,8,5,-30,-50,-1,-260,31,6,-14,-50,0,-258,-6,5,-12,-48,-1,-259,16,16,-16
tiltl,-46,1,-257,17,21,-14,-50,0,-258,-3,8,-9,-49,1,-257,48,17,-13,-47,-3,-259,7,4,-16,-48,-1,-259,19,11,-22,-48,-2,-258,8,9,-8,-47,0,-257,-22,18,-18,-48,-1,-259,-27,25,-5,-55,-17,-272,-840,202,64,-47,19,-262,-935,237,9,-50,8,-266,-2461,632,169,-29,91,-246,-3882,992,265,25,235,-148,-2209,598,46,7,211,-166,-795,247,-100,5,224,-156,-142,-1,-78,7,229,-148,602,-235,2,3,217,-169,2061,-607,-154,-21,149,-214,2704,-673,-193,-39,77,-241,2557,-472,-178,-37,49,-257,2475,-446,-183,-51,-16,-273,1385,-214,-92,-53,-29,-268,205,0,-17,-46,-6,-256,-32,42,-33,-47,-14,-258,-271,103,-3,-48,-9,-259,-64,38,-18,-46,-5,-259,22,3,-27,-44,-3,-258,22,-2,-15,-47,-7,-261,-48,13,-13,-46,-4,-261,1,13,-12,-47,-7,-261,30,18,-7
tiltl,-48,-8,-259,-2,17,-12,-48,-4,-257,53,13,-23,-47,-7,-255,9,8,-22,-46,-4,-257,7,23,-13,-47,-6,-259,-15,6,-19,-46,-4,-260,-55,14,-13,-46,-7,-262,-70,25,-1,-48,-6,-263,-673,133,15,-56,-11,-275,-2231,505,138,-36,57,-239,-3678,766,222,0,159,-180,-3667,910,244,7,201,-175,-963,290,-108,6,233,-153,-313,37,-108,3,229,-159,396,-143,17,6,230,-158,2112,-600,-172,-34,169,-204,3054,-790,-213,-39,77,-252,2427,-446,-132,-43,46,-259,1933,-327,-116,-48,2,-268,1164,-157,-53,-50,-11,-261,615,-58,-14,-49,-14,-257,-90,53,14,-52,-9,-257,-29,45,-7,-49,-9,-257,-63,22,-25,-50,-5,-258,-5,21,-22,-48,0,-258,-60,11,-26,-47,-1,-260,11,16,-24,-49,-3,-258,-59,40,-16,-51,-5,-259,25,30,-18,-48,0,-256,15,12,-28,-47,0,-257,27,9,-15
tiltl,-46,-1,-259,2,0,-13,-48,-2,-260,23,21,-14,-48,-2,-259,25,16,-13,-48,-1,-257,8,25,-14,-47,1,-258,-88,28,-7,-48,3,-263,-356,95,6,-47,7,-268,-347,130,45,-41,11,-263,-1695,366,121,-39,52,-267,-2578,546,155,-20,118,-225,-2878,743,238,11,206,-168,-2019,568,116,9,211,-174,-438,218,-47,10,216,-163,248,-81,-30,15,233,-151,1749,-529,-188,-13,160,-205,3052,-756,-250,-38,52,-258,2393,-468,-163,-42,35,-257,2093,-409,-161,-45,2,-264,1005,-116,-32,-50,-18,-265,445,-40,0,-46,-13,-259,-77,51,13,-44,-11,-256,-4,34,-10,-42,-5,-256,-96,21,-10,-45,-6,-263,-95,34,6,-44,2,-258,-24,0,-6,-44,-5,-262,-11,27,-4,-44,-3,-261,12,28,-2,-44,-2,-259,15,20,-17,-46,-2,-257,19,27,-13,-44,-7,-259,-81,38,-12,-43,-4,-260,4,8,-13
